id	mda	name
ALATA_L	19.0890942358745	L-Alanine_transaminase
ACONTa	19.045263739054	Aconitase
CLPNS161pp	6.97214920787549	Cardiolipin_synthase 
GALUi	6.96024014895911	Glucose-1-P_uridylyltransferase
UAGAAT	5.98072838999144	N-Acetylglucosamine_acyltransferase
EX_tyr__L_e	5.97907154214604	L-Tyrosine_exchange
CYSabcpp	5.97513294677388	L-Cysteine_ABC_transport
ASAD	5.97124673256484	Aspartate-semialdehyde_dehydrogenase
X3OAR181	5.96899257048241	3-Oxoacyl-[ACP]_reductase
MPTG	5.96700248923558	Murein_transglycosylase
