reaction	linear_coefficient
3PEPTabcpp	0.36950144348212305
4PEPTabcpp	0.3818865200977126
12PPDt	0.18473017988007995
PEAMNOpp	0.5162524983344438
TYROXDApp	0.5162524983344438
42A12BOOXpp	0.5162524983344438
13PPDH	0.2655218743060182
ARGDCpp	0.4615267599378192
4HTHRS	0.2920208749722408
THRS	0.2920208749722408
ARGORNt7pp	0.3153519875638463
ARGSL	0.31491894292693756
ARGSS	0.31491894292693756
MALTTTRabcpp	0.35207528314457026
MALTPTabcpp	0.35207528314457026
MALTabcpp	0.35207528314457026
MALTHXabcpp	0.35207528314457026
14GLUCANabcpp	0.35207528314457026
MALTTRabcpp	0.35207528314457026
MALTPTtexi	0.3039740173217855
MALTtexi	0.3039740173217855
14GLUCANtexi	0.3039740173217855
MALTHXtexi	0.3039740173217855
MALTTRtexi	0.3039740173217855
GLCtex_copy2	0.3039740173217855
MALTTTRtexi	0.3039740173217855
AM4PCP	0.20719631356873194
AGM4PCP	0.20719631356873194
UM4PCP	0.20719631356873194
4PCP	0.20719631356873194
3CMPtex	0.2633622029757939
THRtex	0.2633622029757939
ALAtex	0.2633622029757939
ASPtex	0.2633622029757939
ASO3tex	0.2633622029757939
THYMtex	0.2633622029757939
PSCLYStex	0.2633622029757939
GLCURtex	0.2633622029757939
R5Ptex	0.2633622029757939
SULFACtex	0.2633622029757939
LYXtex	0.2633622029757939
SBTtex	0.2633622029757939
ANHGMtex	0.2633622029757939
4HOXPACDtex	0.2633622029757939
CYSDtex	0.2633622029757939
DIMPtex	0.2633622029757939
3PEPTtex	0.2633622029757939
ADEtex	0.2633622029757939
INDOLEtex	0.2633622029757939
G3PItex	0.2633622029757939
GMPtex	0.2633622029757939
ABUTtex	0.2633622029757939
PSERtex	0.2633622029757939
ACGALtex	0.2633622029757939
BALAtex	0.2633622029757939
PACALDtex	0.2633622029757939
DTMPtex	0.2633622029757939
HOMtex	0.2633622029757939
NH4tex	0.2633622029757939
CHLtex	0.2633622029757939
CLtex	0.2633622029757939
N2Otex	0.2633622029757939
XTSNtex	0.2633622029757939
DGMPtex	0.2633622029757939
CD2tex	0.2633622029757939
GDPtex	0.2633622029757939
ISETACtex	0.2633622029757939
3GMPtex	0.2633622029757939
FRUtex	0.2633622029757939
GLYALDtex	0.2633622029757939
UMPtex	0.2633622029757939
34dhpactex	0.2633622029757939
TREtex	0.2633622029757939
26DAHtex	0.2633622029757939
LCTStex	0.2633622029757939
PPALtex	0.2633622029757939
23CUMPtex	0.2633622029757939
