reaction	linear_coefficient
3PEPTabcpp	0.18141683322229624
4PEPTabcpp	0.17608927381745504
12PPDt	0.36417277370641793
PEAMNOpp	0.13302798134576949
TYROXDApp	0.13302798134576949
42A12BOOXpp	0.13302798134576949
13PPDH	0.27243504330446366
ARGDCpp	0.14771818787475016
4HTHRS	0.24478347768154562
THRS	0.24478347768154562
ARGORNt7pp	0.22015767266266933
ARGSL	0.22174106151454584
ARGSS	0.22174106151454584
MALTTTRabcpp	0.19005773928492115
MALTPTabcpp	0.19005773928492115
MALTabcpp	0.19005773928492115
MALTHXabcpp	0.19005773928492115
14GLUCANabcpp	0.19005773928492115
MALTTRabcpp	0.19005773928492115
MALTPTtexi	0.23398290028869642
MALTtexi	0.23398290028869642
14GLUCANtexi	0.23398290028869642
MALTHXtexi	0.23398290028869642
MALTTRtexi	0.23398290028869642
GLCtex_copy2	0.23398290028869642
MALTTTRtexi	0.23398290028869642
AM4PCP	0.33248945147679326
AGM4PCP	0.33248945147679326
UM4PCP	0.33248945147679326
4PCP	0.33248945147679326
3CMPtex	0.2747390628469909
THRtex	0.2747390628469909
ALAtex	0.2747390628469909
ASPtex	0.2747390628469909
ASO3tex	0.2747390628469909
THYMtex	0.2747390628469909
PSCLYStex	0.2747390628469909
GLCURtex	0.2747390628469909
R5Ptex	0.2747390628469909
SULFACtex	0.2747390628469909
LYXtex	0.2747390628469909
SBTtex	0.2747390628469909
ANHGMtex	0.2747390628469909
4HOXPACDtex	0.2747390628469909
CYSDtex	0.2747390628469909
DIMPtex	0.2747390628469909
3PEPTtex	0.2747390628469909
ADEtex	0.2747390628469909
INDOLEtex	0.2747390628469909
G3PItex	0.2747390628469909
GMPtex	0.2747390628469909
ABUTtex	0.2747390628469909
PSERtex	0.2747390628469909
ACGALtex	0.2747390628469909
BALAtex	0.2747390628469909
PACALDtex	0.2747390628469909
DTMPtex	0.2747390628469909
HOMtex	0.2747390628469909
NH4tex	0.2747390628469909
CHLtex	0.2747390628469909
CLtex	0.2747390628469909
N2Otex	0.2747390628469909
XTSNtex	0.2747390628469909
DGMPtex	0.2747390628469909
CD2tex	0.2747390628469909
GDPtex	0.2747390628469909
ISETACtex	0.2747390628469909
3GMPtex	0.2747390628469909
FRUtex	0.2747390628469909
GLYALDtex	0.2747390628469909
UMPtex	0.2747390628469909
34dhpactex	0.2747390628469909
TREtex	0.2747390628469909
26DAHtex	0.2747390628469909
LCTStex	0.2747390628469909
PPALtex	0.2747390628469909
23CUMPtex	0.2747390628469909
TYRtex	0.2747390628469909
G3PGtex	0.2747390628469909
METtex	0.2747390628469909
GALTtex	0.2747390628469909
GLUtex	0.2747390628469909
ARBtex	0.2747390628469909
ASCBtex	0.2747390628469909
FALDtex	0.2747390628469909
DMSOtex	0.2747390628469909
FUCtex	0.2747390628469909
23CCMPtex	0.2747390628469909
DDGLCNtex	0.2747390628469909
ALLtex	0.2747390628469909
TMAOtex	0.2747390628469909
DGSNtex	0.2747390628469909
DMStex	0.2747390628469909
MALDtex	0.2747390628469909
TARTRtex	0.2747390628469909
ASNtex	0.2747390628469909
23CGMPtex	0.2747390628469909
AMPtex	0.2747390628469909
ACALDtex	0.2747390628469909
ARGtex	0.2747390628469909
GLYBtex	0.2747390628469909
PEAMNtex	0.2747390628469909
CYANtex	0.2747390628469909
NACtex	0.2747390628469909
3AMPtex	0.2747390628469909
G3PStex	0.2747390628469909
TRPtex	0.2747390628469909
UACGAMtex	0.2747390628469909
GALURtex	0.2747390628469909
HPPPNtex	0.2747390628469909
23CAMPtex	0.2747390628469909
CYNTtex	0.2747390628469909
DCAtex	0.2747390628469909
DUMPtex	0.2747390628469909
GLYtex	0.2747390628469909
RIBtex	0.2747390628469909
SERtex	0.2747390628469909
CYTDtex	0.2747390628469909
TMAtex	0.2747390628469909
DOPAtex	0.2747390628469909
GLYC2Ptex	0.2747390628469909
PPTtex	0.2747390628469909
UDPGALtex	0.2747390628469909
MALtex	0.2747390628469909
ACMUMtex	0.2747390628469909
G3PCtex	0.2747390628469909
MG2tex	0.2747390628469909
ETOHtex	0.2747390628469909
CU2tex	0.2747390628469909
CYStex	0.2747390628469909
G6Ptex	0.2747390628469909
UDPGLCURtex	0.2747390628469909
3UMPtex	0.2747390628469909
23DAPPAtex	0.2747390628469909
CUtex	0.2747390628469909
PPAtex	0.2747390628469909
GTHOXtex	0.2747390628469909
URAtex	0.2747390628469909
FORtex	0.2747390628469909
RMNtex	0.2747390628469909
ACtex	0.2747390628469909
ETHSO3tex	0.2747390628469909
THMtex	0.2747390628469909
COBALT2tex	0.2747390628469909
GALtex	0.2747390628469909
HXAtex	0.2747390628469909
GAL1Ptex	0.2747390628469909
GALBDtex	0.2747390628469909
GLCtex_copy1	0.2747390628469909
CMPtex	0.2747390628469909
GLYC3Ptex	0.2747390628469909
D_LACtex	0.2747390628469909
FE2tex	0.2747390628469909
MMETtex	0.2747390628469909
PPPNtex	0.2747390628469909
DINStex	0.2747390628469909
FE3tex	0.2747390628469909
MAN6Ptex	0.2747390628469909
DCMPtex	0.2747390628469909
FUMtex	0.2747390628469909
DHAtex	0.2747390628469909
GAMAN6Ptex	0.2747390628469909
LYStex	0.2747390628469909
TSULtex	0.2747390628469909
5DGLCNtex	0.2747390628469909
GLYCLTtex	0.2747390628469909
MOBDtex	0.2747390628469909
OCTAtex	0.2747390628469909
GLYCtex	0.2747390628469909
ORNtex	0.2747390628469909
NAtex	0.2747390628469909
UDPGtex	0.2747390628469909
NO3tex	0.2747390628469909
HYXNtex	0.2747390628469909
PYRtex	0.2747390628469909
SO3tex	0.2747390628469909
XYLtex	0.2747390628469909
ETHAtex	0.2747390628469909
Zn2tex	0.2747390628469909
CRNtex	0.2747390628469909
F6Ptex	0.2747390628469909
G3PEtex	0.2747390628469909
MELIBtex	0.2747390628469909
G1Ptex	0.2747390628469909
MANGLYCtex	0.2747390628469909
OROTtex	0.2747390628469909
PHEtex	0.2747390628469909
NI2tex	0.2747390628469909
PROGLYtex	0.2747390628469909
DALAtex	0.2747390628469909
DSERtex	0.2747390628469909
H2O2tex	0.2747390628469909
FRUURtex	0.2747390628469909
4PEPTtex	0.2747390628469909
BUTtex	0.2747390628469909
GALCTNLtex	0.2747390628469909
GAMtex	0.2747390628469909
ACMANAtex	0.2747390628469909
GLNtex	0.2747390628469909
GLYCAtex	0.2747390628469909
ACGAtex	0.2747390628469909
ACGAL1Ptex	0.2747390628469909
PTRCtex	0.2747390628469909
CGLYtex	0.2747390628469909
PNTOtex	0.2747390628469909
SUCCtex	0.2747390628469909
AKGtex	0.2747390628469909
DAMPtex	0.2747390628469909
HIStex	0.2747390628469909
TUNGStex	0.2747390628469909
ACGAM1Ptex	0.2747390628469909
H2Otex	0.2747390628469909
SPMDtex	0.2747390628469909
UREAtex	0.2747390628469909
UDPACGALtex	0.2747390628469909
VALtex	0.2747390628469909
GALCTNtex	0.2747390628469909
METSOX1tex	0.2747390628469909
TYMtex	0.2747390628469909
ILEtex	0.2747390628469909
TCYNTtex	0.2747390628469909
ALAALAtex	0.2747390628469909
NOtex	0.2747390628469909
O2Stex	0.2747390628469909
HG2tex	0.2747390628469909
MANtex	0.2747390628469909
PItex	0.2747390628469909
SKMtex	0.2747390628469909
METDtex	0.2747390628469909
LEUtex	0.2747390628469909
THRPtex	0.2747390628469909
BUTSO3tex	0.2747390628469909
