	minimum	maximum
3OAR80	0.18027487663664124	0.3605497532737754
3OAS100	0.1802748766366412	0.3605497532737755
3OAS120	0.1480384635472298	0.296076927094224
3OAS121	0.03223641308939704	0.06447282617953713
3OAS140	0.14803846354722983	0.29607692709422406
3OAS141	0.03223641308939704	0.06447282617953715
3OAS160	0.06336599654653598	0.12673199309281946
3OAS161	0.032236413089397044	0.06447282617953715
3OAS181	0.012175125973356259	0.024350251947314907
3OAS60	0.18027487663664116	0.3605497532737754
3OAS80	0.18027487663664118	0.3605497532737754
3HAD100	0.1802748766366412	0.3605497532737754
3HAD120	0.14803846354722983	0.296076927094224
3HAD121	0.03223641308939704	0.06447282617953715
3HAD140	0.0915901522134339	0.18318030442662095
3HAD141	0.032236413089397044	0.06447282617953715
3HAD160	0.06336599654653598	0.12673199309281946
3HAD161	0.032236413089397044	0.06447282617953715
3HAD181	0.012175125973356255	0.024350251947314917
3HAD40	0.18027487663664118	0.36054975327377536
3HAD60	0.18027487663664118	0.3605497532737754
3HAD80	0.18027487663664124	0.3605497532737755
A5PISO	0.0034588426060508937	0.006917685212442848
ACKr	-23.806448798024014	-4.981290276515962
3OAR100	0.1802748766366413	0.36054975327378475
3OAR120	0.14803846354722983	0.2960769270942315
3OAR121	0.03223641308939704	0.06447282617953887
3OAR140	0.14803846354722983	0.2960769270942315
3OAR141	0.032236413089397044	0.06447282617953888
3OAR160	0.06336599654653598	0.12673199309282265
3OAR161	0.032236413089397044	0.06447282617953888
3OAR181	0.012175125973356253	0.02435025194731564
3OAR40	0.18027487663664116	0.36054975327378447
3OAR60	0.18027487663664118	0.3605497532737845
ADNK1	0.07540276881427424	0.15080553762967847
ADNt2pp	0.17640097291654402	0.35280194583410823
ADNtex	0.17640097291666734	0.3528019458342442
AGMHE	0.00484237964873249	0.009684759297466188
ACt2rpp	-23.862435873864488	-5.009514432183924
ACtex	-23.862435873864456	-5.009514432184005
ADA	0.10099820410226977	0.20199640820443246
ACALD	-4.700777497715373e-13	12.916027414342643
ACCOAC	1.189426795429108	2.3788535908623873
ALAtex	0.4676355203633875	0.935271040726775
AGPAT160	0.03168299827326799	0.06336599654641217
AGPAT161	0.01003064355802039	0.020061287116111888
AGPAT181	0.006087562986685281	0.01217512597366495
ADEt2rpp	-5.0000000000009885	1.2886063912612396e-12
ADEtex	-5.000000000001478	3.410605131648481e-13
ADK1	0.31752175125120025	0.6350435025037304
ARGtex	0.2116811675017516	0.42336233500361686
ASAD	-0.3970751311960647	-0.19853756559803215
AKGDH	0.0	8.098456890027501
ALAALAr	0.015218907467444975	0.030437814934893722
ASNS2	0.14112077833448972	0.2822415566690145
ASPK	0.19853756559803215	0.3970751311961136
