gene	transcript_abund
KPN_00001	12.97
KPN_00002	506.608
KPN_00003	188.843
KPN_00004	261.994
KPN_00005	71.205
KPN_00006	157.975
KPN_00007	284.692
KPN_00008	201.554
KPN_00009	121.659
KPN_00010	266.015
KPN_00011	115.433
KPN_00012	153.565
KPN_00013	81.841
KPN_00014	404.145
KPN_00015	236.313
KPN_00016	242.799
KPN_00017	184.952
KPN_00018	40.466
KPN_00020	193.642
KPN_00021	579.37
KPN_00022	107.132
KPN_00023	94.551
KPN_00024	194.55
KPN_00025	186.768
KPN_00026	53.696
KPN_00027	190.659
KPN_00028	145.913
KPN_00029	333.848
KPN_00030	266.923
KPN_00031	362.512
KPN_00032	50.453
KPN_00033	272.759
KPN_00034	210.503
KPN_00035	59.403
KPN_00036	176.911
KPN_00037	308.167
KPN_00038	185.471
KPN_00039	168.61
KPN_00040	240.594
KPN_00041	664.583
KPN_00042	47.211
KPN_00043	96.627
KPN_00044	383.264
KPN_00045	97.924
KPN_00046	173.798
KPN_00047	75.485
KPN_00048	172.112
KPN_00049	202.332
KPN_00050	269.906
KPN_00051	490.526
KPN_00052	169.259
KPN_00053	145.783
KPN_00054	332.681
KPN_00055	288.194
KPN_00056	111.153
KPN_00057	133.98
KPN_00058	596.491
KPN_00059	483.133
KPN_00060	141.762
KPN_00061	309.205
KPN_00062	351.487
KPN_00063	173.15
KPN_00064	155.77
KPN_00065	142.022
KPN_00066	330.605
KPN_00067	201.554
KPN_00068	340.203
KPN_00069	30.609
KPN_00070	241.112
KPN_00071	247.208
KPN_00072	182.877
KPN_00073	157.326
KPN_00074	248.635
KPN_00075	176.133
KPN_00076	418.023
KPN_00077	122.307
KPN_00078	285.859
KPN_00079	222.825
KPN_00080	322.045
KPN_00081	180.153
KPN_00082	352.654
KPN_00083	102.982
KPN_00084	211.022
KPN_00085	97.794
KPN_00086	196.625
KPN_00087	77.431
KPN_00088	370.034
KPN_00089	309.724
KPN_00090	280.152
KPN_00091	226.327
KPN_00092	272.889
KPN_00093	266.663
KPN_00094	220.36
KPN_00095	306.741
KPN_00096	194.42
KPN_00097	173.15
KPN_00098	265.107
KPN_00099	241.372
KPN_00100	192.864
KPN_00101	87.029
KPN_00102	565.492
KPN_00103	79.895
KPN_00104	39.948
KPN_00105	150.582
KPN_00106	125.939
KPN_00107	216.988
KPN_00108	247.338
KPN_00109	280.801
KPN_00110	87.548
KPN_00111	182.229
KPN_00112	115.044
KPN_00113	173.539
KPN_00114	193.772
KPN_00115	279.504
KPN_00116	283.395
KPN_00117	163.681
KPN_00118	560.045
KPN_00119	399.217
KPN_00120	300.645
KPN_00121	57.327
KPN_00122	157.326
KPN_00123	328.79
KPN_00124	536.699
KPN_00125	77.431
KPN_00126	161.866
KPN_00127	177.689
KPN_00128	450.967
KPN_00129	83.527
KPN_00130	66.277
KPN_00131	327.363
KPN_00132	489.618
KPN_00133	112.709
KPN_00134	124.771
KPN_00135	188.714
KPN_00136	157.586
KPN_00137	89.234
KPN_00138	257.195
KPN_00139	77.172
KPN_00140	175.354
KPN_00141	160.18
KPN_00142	98.053
KPN_00143	277.688
KPN_00144	180.024
KPN_00145	97.924
KPN_00146	148.377
KPN_00147	109.597
KPN_00148	499.734
KPN_00149	163.163
KPN_00150	151.879
KPN_00151	98.442
KPN_00152	244.225
KPN_00153	194.161
KPN_00154	118.676
KPN_00155	74.578
KPN_00156	104.927
KPN_00157	88.715
KPN_00158	247.208
KPN_00159	306.741
KPN_00160	404.275
KPN_00161	136.315
KPN_00162	59.273
KPN_00163	669.252
KPN_00164	527.62
KPN_00165	452.783
KPN_00166	162.774
KPN_00167	181.839
KPN_00168	406.221
KPN_00169	263.291
KPN_00170	291.955
KPN_00171	70.816
KPN_00172	127.106
KPN_00173	163.292
KPN_00174	143.189
KPN_00175	311.799
KPN_00176	299.867
KPN_00177	251.099
KPN_00178	82.36
KPN_00179	174.576
KPN_00180	548.631
KPN_00181	165.238
KPN_00182	151.101
KPN_00183	180.413
KPN_00184	152.657
KPN_00185	110.375
KPN_00186	244.355
KPN_00187	161.606
KPN_00188	159.272
KPN_00189	287.415
KPN_00190	509.202
KPN_00191	94.551
KPN_00192	216.08
KPN_00193	97.405
KPN_00194	166.665
KPN_00195	235.795
KPN_00196	122.437
KPN_00197	721.911
KPN_00198	201.554
KPN_00199	449.67
KPN_00200	78.728
KPN_00201	269.517
KPN_00202	54.733
KPN_00203	45.914
KPN_00204	111.542
KPN_00205	83.267
KPN_00206	146.691
KPN_00207	172.112
KPN_00208	357.453
KPN_00209	144.226
KPN_00210	82.489
KPN_00211	170.945
KPN_00212	134.24
KPN_00213	212.319
KPN_00214	127.365
KPN_00221	163.681
KPN_00222	185.341
KPN_00223	244.096
KPN_00224	159.142
KPN_00225	157.326
KPN_00226	284.303
KPN_00227	154.602
KPN_00228	137.223
KPN_00229	94.162
KPN_00230	151.23
KPN_00232	180.932
KPN_00233	118.676
KPN_00234	160.18
KPN_00235	499.345
KPN_00236	123.345
KPN_00237	161.217
KPN_00238	152.527
KPN_00239	273.927
KPN_00240	256.547
KPN_00241	84.046
KPN_00242	131.905
KPN_00243	123.345
KPN_00244	254.99
KPN_00245	43.839
KPN_00246	174.317
KPN_00247	222.176
KPN_00248	91.049
KPN_00249	282.876
KPN_00250	93.773
KPN_00251	261.475
KPN_00252	84.435
KPN_00253	141.632
KPN_00254	287.804
KPN_00255	265.107
KPN_00256	300.126
KPN_00257	260.697
KPN_00258	210.244
KPN_00259	52.788
KPN_00260	153.435
KPN_00261	94.292
KPN_00262	149.674
KPN_00263	273.667
KPN_00264	524.248
KPN_00265	155.121
KPN_00266	108.429
KPN_00267	31.258
KPN_00268	310.502
KPN_00269	126.458
KPN_00270	71.594
KPN_00271	96.497
KPN_00272	168.351
KPN_00273	199.738
KPN_00274	81.97
KPN_00275	105.576
KPN_00276	143.319
KPN_00277	511.407
KPN_00278	235.795
KPN_00280	257.325
KPN_00281	224.64
KPN_00282	210.503
KPN_00283	95.719
KPN_00284	34.111
KPN_00285	37.224
KPN_00286	180.542
KPN_00287	177.3
KPN_00288	176.392
KPN_00289	25.94
KPN_00290	111.023
KPN_00291	119.454
KPN_00292	135.926
KPN_00293	509.592
KPN_00294	337.09
KPN_00295	144.486
KPN_00296	139.817
KPN_00297	152.008
KPN_00298	166.405
KPN_00299	165.108
KPN_00300	34.111
KPN_00301	142.151
KPN_00302	159.401
KPN_00303	214.394
KPN_00304	182.358
KPN_00305	225.159
KPN_00306	159.401
KPN_00307	281.968
KPN_00308	281.968
KPN_00309	288.972
KPN_00310	189.362
KPN_00311	195.717
KPN_00312	156.159
KPN_00313	170.166
KPN_00314	172.76
KPN_00315	353.044
KPN_00316	198.571
KPN_00317	237.61
KPN_00318	108.17
KPN_00319	250.062
KPN_00320	226.716
KPN_00321	61.218
KPN_00322	40.856
KPN_00323	231.515
KPN_00324	139.298
KPN_00325	246.3
KPN_00326	54.085
KPN_00327	293.122
KPN_00328	63.294
KPN_00329	169.907
KPN_00330	95.2
KPN_00331	147.339
KPN_00332	108.17
KPN_00333	40.466
KPN_00334	141.114
KPN_00335	58.754
KPN_00336	185.471
KPN_00337	192.994
KPN_00338	647.592
KPN_00339	246.56
KPN_00340	143.189
KPN_00341	263.421
KPN_00342	270.165
KPN_00343	269.257
KPN_00344	372.758
KPN_00345	183.915
KPN_00346	130.608
KPN_00347	110.375
KPN_00348	384.69
KPN_00349	175.873
KPN_00350	195.588
KPN_00351	273.797
KPN_00352	57.717
KPN_00353	90.271
KPN_00354	128.144
KPN_00355	118.546
KPN_00356	218.934
KPN_00357	234.498
KPN_00358	71.076
KPN_00359	378.984
KPN_00360	204.796
KPN_00361	74.318
KPN_00362	142.929
KPN_00363	183.655
KPN_00364	109.597
KPN_00365	91.049
KPN_00366	227.494
KPN_00367	98.053
KPN_00368	89.234
KPN_00369	199.09
KPN_00370	94.94
KPN_00371	190.4
KPN_00372	382.356
KPN_00373	182.618
KPN_00374	49.545
KPN_00375	299.867
KPN_00376	96.367
KPN_00377	121.918
KPN_00378	187.417
KPN_00379	104.409
KPN_00380	278.596
KPN_00381	243.188
KPN_00382	280.801
KPN_00383	166.535
KPN_00384	345.651
KPN_00385	65.369
KPN_00386	343.835
KPN_00387	168.61
KPN_00388	153.046
KPN_00389	67.574
KPN_00390	187.935
KPN_00391	70.687
KPN_00392	129.959
KPN_00393	417.504
KPN_00394	190.659
KPN_00395	301.164
KPN_00396	111.153
KPN_00397	67.963
KPN_00398	274.964
KPN_00399	123.345
KPN_00400	268.349
KPN_00401	492.212
KPN_00402	58.365
KPN_00403	391.435
KPN_00404	70.557
KPN_00405	80.933
KPN_00406	142.151
KPN_00407	347.207
KPN_00408	166.535
KPN_00409	215.691
KPN_00410	93.125
KPN_00411	364.587
KPN_00412	362.771
KPN_00413	67.963
KPN_00414	267.182
KPN_00415	177.041
KPN_00416	104.798
KPN_00417	62.515
KPN_00418	81.97
KPN_00419	52.139
KPN_00420	43.579
KPN_00421	291.177
KPN_00422	124.382
KPN_00423	176.392
KPN_00424	69.39
KPN_00425	318.025
KPN_00426	228.402
KPN_00427	252.656
KPN_00428	268.09
KPN_00429	173.539
KPN_00430	243.706
KPN_00431	421.525
KPN_00432	64.202
KPN_00433	262.513
KPN_00434	218.804
KPN_00435	52.788
KPN_00436	28.534
KPN_00437	142.8
KPN_00438	297.921
KPN_00439	97.405
KPN_00440	116.73
KPN_00441	53.696
KPN_00442	81.063
KPN_00443	656.023
KPN_00444	250.321
KPN_00445	132.294
KPN_00446	687.929
KPN_00447	185.86
KPN_00448	34.111
KPN_00449	106.484
KPN_00450	77.042
KPN_00451	111.801
KPN_00452	392.083
KPN_00453	71.465
KPN_00454	123.864
KPN_00455	392.213
KPN_00456	135.407
KPN_00458	267.701
KPN_00459	343.575
KPN_00460	250.321
KPN_00461	345.651
KPN_00462	96.756
KPN_00463	157.586
KPN_00464	523.21
KPN_00465	82.878
KPN_00466	91.957
KPN_00467	187.935
KPN_00468	138.001
KPN_00469	158.753
KPN_00470	176.781
KPN_00471	164.071
KPN_00472	121.01
KPN_00473	139.817
KPN_00474	496.622
KPN_00475	233.849
KPN_00476	220.101
KPN_00477	219.193
KPN_00478	103.501
KPN_00479	62.256
KPN_00480	147.599
KPN_00481	111.283
KPN_00482	290.139
KPN_00483	42.671
KPN_00484	176.651
KPN_00485	44.876
KPN_00487	58.884
KPN_00488	81.581
KPN_00489	267.182
KPN_00490	134.369
KPN_00491	109.597
KPN_00492	141.632
KPN_00493	500.123
KPN_00494	193.902
KPN_00495	178.986
KPN_00496	188.065
KPN_00497	58.495
KPN_00498	320.878
KPN_00499	275.483
KPN_00500	441.888
KPN_00501	303.628
KPN_00502	316.079
KPN_00503	85.861
KPN_00504	188.714
KPN_00505	241.242
KPN_00506	210.892
KPN_00507	205.315
KPN_00508	208.428
KPN_00509	191.437
KPN_00510	309.724
KPN_00511	210.373
KPN_00512	204.667
KPN_00513	285.081
KPN_00514	280.152
KPN_00515	312.447
KPN_00516	188.843
KPN_00517	233.33
KPN_00518	163.163
KPN_00519	221.528
KPN_00520	228.013
KPN_00521	83.397
KPN_00522	24.773
KPN_00523	240.983
KPN_00524	151.619
KPN_00525	195.199
KPN_00526	158.234
KPN_00527	351.228
KPN_00528	241.372
KPN_00529	111.153
KPN_00530	227.883
KPN_00531	120.491
KPN_00532	307.13
KPN_00533	74.318
KPN_00534	266.663
KPN_00535	304.536
KPN_00536	455.247
KPN_00537	282.746
KPN_00538	253.953
KPN_00539	209.595
KPN_00540	241.502
KPN_00541	88.066
KPN_00542	201.165
KPN_00543	253.823
KPN_00544	178.078
KPN_00545	211.541
KPN_00546	561.212
KPN_00547	202.073
KPN_00548	218.155
KPN_00549	174.576
KPN_00550	151.49
KPN_00551	95.459
KPN_00552	88.585
KPN_00553	136.574
KPN_00554	76.264
KPN_00555	118.805
KPN_00556	70.816
KPN_00557	51.75
KPN_00558	21.66
KPN_00559	558.878
KPN_00560	220.749
KPN_00561	634.752
KPN_00562	146.82
KPN_00563	227.105
KPN_00564	342.668
KPN_00565	195.328
KPN_00566	182.358
KPN_00567	211.93
KPN_00568	207.39
KPN_00569	259.27
KPN_00570	273.148
KPN_00571	318.932
KPN_00572	170.037
KPN_00573	131.516
KPN_00574	135.147
KPN_00575	156.289
KPN_00576	156.159
KPN_00577	274.964
KPN_00578	143.059
KPN_00579	170.426
KPN_00580	170.296
KPN_00581	208.428
KPN_00582	322.564
KPN_00583	143.059
KPN_00584	340.592
KPN_00585	299.607
KPN_00586	123.215
KPN_00587	418.801
KPN_00588	257.455
KPN_00589	182.229
KPN_00590	122.826
KPN_00591	307.0
KPN_00592	284.692
KPN_00593	193.512
KPN_00594	169.777
KPN_00595	202.721
KPN_00596	195.717
KPN_00597	222.306
KPN_00598	313.096
KPN_00599	124.512
KPN_00600	183.915
KPN_00601	134.499
KPN_00602	457.452
KPN_00603	234.757
KPN_00604	40.856
KPN_00605	801.287
KPN_00606	161.347
KPN_00607	201.035
KPN_00608	205.575
KPN_00609	253.693
KPN_00610	196.106
KPN_00611	240.464
KPN_00612	329.049
KPN_00613	173.02
KPN_00614	154.473
KPN_00615	83.786
KPN_00616	439.035
KPN_00617	40.985
KPN_00618	82.23
KPN_00619	61.478
KPN_00620	151.749
KPN_00621	222.306
KPN_00622	310.632
KPN_00623	188.584
KPN_00624	217.766
KPN_00625	246.43
KPN_00626	246.819
KPN_00627	209.336
KPN_00628	261.086
KPN_00629	279.374
KPN_00630	164.33
KPN_00631	211.541
KPN_00632	253.304
KPN_00633	257.325
KPN_00634	122.956
KPN_00635	306.481
KPN_00636	209.336
KPN_00637	192.086
KPN_00638	204.926
KPN_00639	202.591
KPN_00640	317.895
KPN_00641	201.684
KPN_00642	474.832
KPN_00643	110.115
KPN_00644	140.984
KPN_00645	236.443
KPN_00646	129.57
KPN_00647	251.359
KPN_00648	191.308
KPN_00649	126.328
KPN_00650	119.065
KPN_00651	326.714
KPN_00652	90.79
KPN_00653	87.158
KPN_00654	281.19
KPN_00655	116.471
KPN_00656	44.747
KPN_00657	63.942
KPN_00658	146.561
KPN_00659	41.763
KPN_00660	201.035
KPN_00661	182.229
KPN_00662	117.897
KPN_00663	56.03
KPN_00664	247.208
KPN_00665	234.238
KPN_00666	227.105
KPN_00667	390.008
KPN_00668	94.811
KPN_00669	63.553
KPN_00670	127.625
KPN_00671	132.035
KPN_00672	212.449
KPN_00673	121.27
KPN_00674	540.59
KPN_00675	102.463
KPN_00676	367.44
KPN_00677	341.371
KPN_00678	153.046
KPN_00679	136.704
KPN_00680	152.527
KPN_00681	201.684
KPN_00682	316.079
KPN_00683	198.052
KPN_00684	99.091
KPN_00685	214.005
KPN_00686	280.801
KPN_00687	241.242
KPN_00695	342.797
KPN_00696	154.343
KPN_00697	250.062
KPN_00698	235.924
KPN_00699	169.388
KPN_00700	412.576
KPN_00701	347.207
KPN_00702	62.386
KPN_00703	287.545
KPN_00704	67.055
KPN_00705	115.952
KPN_00706	96.756
KPN_00707	109.986
KPN_00708	60.181
KPN_00709	157.586
KPN_00710	113.877
KPN_00711	343.575
KPN_00712	80.025
KPN_00713	137.871
KPN_00714	553.171
KPN_00715	116.471
KPN_00716	418.542
KPN_00717	344.743
KPN_00718	43.32
KPN_00719	296.883
KPN_00720	302.72
KPN_00721	151.619
KPN_00722	132.683
KPN_00723	190.659
KPN_00724	151.23
KPN_00725	131.516
KPN_00726	160.958
KPN_00727	270.165
KPN_00728	57.846
KPN_00729	74.318
KPN_00730	369.905
KPN_00731	150.841
KPN_00732	588.06
KPN_00733	258.752
