reaction	linear_coefficient
EX_cd2_e	0.2533101420658422
3OAR80	0.17501970336644115
EX_cbi_e	0.2533101420658422
EX_cbl1_e	0.2533101420658422
2AGPEAT120	0.49744080031025295
2AGPEAT140	0.49744080031025295
3OAS100	0.2919209198022092
12DGR120tipp	0.2533101420658422
2AGPEAT141	0.49744080031025295
3OAS120	0.2919209198022092
2AGPEAT160	0.49744080031025295
2AGPEAT161	0.49744080031025295
2AGPEAT180	0.49744080031025295
12DGR140tipp	0.2533101420658422
2AGPEAT181	0.49744080031025295
3OAS121	0.2874247191700643
2AGPG120tipp	0.2748063496540446
2AGPG140tipp	0.2748063496540446
12DGR141tipp	0.2533101420658422
12DGR160tipp	0.2533101420658422
12DGR161tipp	0.2533101420658422
2AGPG141tipp	0.2748063496540446
12DGR180tipp	0.2533101420658422
3OAS140	0.2919209198022092
12DGR181tipp	0.2533101420658422
2AGPG160tipp	0.2748063496540446
3OAS141	0.2874247191700643
2AGPG161tipp	0.2748063496540446
2AGPG180tipp	0.2748063496540446
2AGPG181tipp	0.2748063496540446
2AGPGAT120	0.49744080031025295
2AGPGAT140	0.49744080031025295
2AGPGAT141	0.49744080031025295
2AGPGAT160	0.49744080031025295
2AGPGAT161	0.49744080031025295
2AGPGAT180	0.49744080031025295
3OAS160	0.2919209198022092
2AGPGAT181	0.49744080031025295
3OAS161	0.2874247191700643
3OAS180	0.2919209198022092
3OAS181	0.2919209198022092
3OAS60	0.2919209198022092
3OAS80	0.2919209198022092
3OXCOAT	0.2808979763169506
3PEPTabcpp	0.3782189641933778
12PPDt	0.18517241447128455
3PEPTtex	0.27466131092397544
2DGLCNRx	0.22360767793962016
2DGLCNRy	0.22360767793962016
13PPDH	0.2666841807701699
2DGULRx	0.22360767793962016
3UMPtex	0.27466131092397544
2DGULRy	0.22360767793962016
13PPDtex	0.2533101420658422
13PPDtpp	0.2533101420658422
42A12BOOXpp	0.5220973844220154
14GLUCANabcpp	0.3642952461067355
4HOXPACDtex	0.27466131092397544
14GLUCANtexi	0.3048293667783672
23CAMPtex	0.27466131092397544
23CCMPtex	0.27466131092397544
23CGMPtex	0.27466131092397544
23CUMPtex	0.27466131092397544
23DAPPAt2pp	0.2533101420658422
2INSD	0.20924884366277027
2MAHMP	0.18734799542232242
4HTHRS	0.2936613845630394
34dhpactex	0.27466131092397544
3AMPtex	0.27466131092397544
23DAPPAtex	0.27466131092397544
23PDE2pp	0.4487077870070047
