reaction	linear_coefficient
EX_cd2_e	[0.25072384129953135, 0.25022368916685855, 0.25518309566566794, 0.00744364800543443, 0.2529387774402788, 0.007869059653409675, 0.25248823946024396, 0.007281430091347044, 0.2584283887429009, 0.006543877708268694, 0.2528358869989747, 0.000942735886518684, 0.253868242536994, 0.004619320844855911, 0.25225217506571174, 0.0023253102593790657, 0.250611998771964, 0.009338335070492346, 0.2562246061255526, 0.01024831651562178, 0.252265104277903, 0.006143611707941027, 0.2531787718119777, 0.005348118810767433, 0.25218519065528555, 0.008508476494311985, 0.25436744390462057, 0.004849223861763341, 0.2534608213373907, 0.008244088354074886, 0.25316600512931253, 0.008840617758204834, 0.2511467048873314, 0.2547239134536069, 0.007439332038926326, 0.25529420332234587, 0.004579666346982046, 0.2536170684529433, 0.2557095644501353, 0.251588199998195, 0.24954270287645108, 0.2530260406646565, 0.25683426990681774, 0.006041045216316124, 0.25072260391288065, 0.009252840321070247, 0.2541327260622839, 0.011544319502444764, 0.25685816696466196, 0.2561692994392357, 0.0046425211553970435, 0.25499767544466, 0.008373549768412574, 0.2511499719877322, 0.006622894041974097, 0.25217442301236914, 0.004552058492404052, 0.2569209304974298, 0.009847203335682352, 0.25240172956688134, 0.25165564376795646, 0.2529670219325524, 0.251588199998195, 0.010740195203476575, 0.25553695707108964, 0.008217744675092557]
3OAR80	[0.39723534112167297, 0.40737243372988474, 0.3858374806733629, 0.002647470312683477, 0.4100012997937966, 0.0021765743057157796, 0.3976137892722767, 0.003583407502485763, 0.392623094163147, 0.0019754169062298193, 0.4140582653158432, 0.00029514680386442434, 0.40523217630029834, 0.001587045855145274, 0.3938105419235007, 0.0007948901302304073, 0.4263837839570296, 0.0027016071978310506, 0.40517739491665294, 0.002620815225176427, 0.4147288090681935, 0.0018054034927799455, 0.4008966491821234, 0.0016593824493519344, 0.4111852036555384, 0.002230073995487698, 0.3971481461356507, 0.0012692648641596115, 0.4085434946216534, 0.0024049070952233973, 0.40904025998143484, 0.002900048693147321, 0.39457734376142184, 0.41582574345338796, 0.0022611192395518356, 0.40037797662174196, 0.0026890684672554277, 0.40274478760228366, 0.40669173533298475, 0.3989996818743232, 0.40304533183354063, 0.4095101707076802, 0.40938280950766837, 0.0016793595188570496, 0.4062432880063145, 0.003144658078906685, 0.4063968652478013, 0.0034716629159308376, 0.41372815435859345, 0.41345637186067624, 0.00168018506440588, 0.407607441058834, 0.003614403260285755, 0.3968411903595814, 0.002259872154952156, 0.405630078483432, 0.0016144608299653992, 0.4189455286485081, 0.00462869892061771, 0.4026655473223895, 0.3988305769681905, 0.4063784137546264, 0.4044502814181838, 0.00466228067032378, 0.4108776707531064, 0.0029269136465248195]
EX_cbi_e	[0.25072384129953135, 0.25022368916685855, 0.25518309566566794, 0.00744364800543443, 0.2529387774402788, 0.007869059653409675, 0.25248823946024396, 0.007281430091347044, 0.2584283887429009, 0.006543877708268694, 0.2528358869989747, 0.000942735886518684, 0.253868242536994, 0.004619320844855911, 0.25225217506571174, 0.0023253102593790657, 0.250611998771964, 0.009338335070492346, 0.2562246061255526, 0.01024831651562178, 0.252265104277903, 0.006143611707941027, 0.2531787718119777, 0.005348118810767433, 0.25218519065528555, 0.008508476494311985, 0.25436744390462057, 0.004849223861763341, 0.2534608213373907, 0.008244088354074886, 0.25316600512931253, 0.008840617758204834, 0.2511467048873314, 0.2547239134536069, 0.007439332038926326, 0.25529420332234587, 0.004579666346982046, 0.2536170684529433, 0.2557095644501353, 0.251588199998195, 0.24954270287645108, 0.2530260406646565, 0.25683426990681774, 0.006041045216316124, 0.25072260391288065, 0.009252840321070247, 0.2541327260622839, 0.011544319502444764, 0.25685816696466196, 0.2561692994392357, 0.0046425211553970435, 0.25499767544466, 0.008373549768412574, 0.2511499719877322, 0.006622894041974097, 0.25217442301236914, 0.004552058492404052, 0.2569209304974298, 0.009847203335682352, 0.25240172956688134, 0.25165564376795646, 0.2529670219325524, 0.251588199998195, 0.010740195203476575, 0.25553695707108964, 0.008217744675092557]
EX_cbl1_e	[0.25072384129953135, 0.25022368916685855, 0.25518309566566794, 0.00744364800543443, 0.2529387774402788, 0.007869059653409675, 0.25248823946024396, 0.007281430091347044, 0.2584283887429009, 0.006543877708268694, 0.2528358869989747, 0.000942735886518684, 0.253868242536994, 0.004619320844855911, 0.25225217506571174, 0.0023253102593790657, 0.250611998771964, 0.009338335070492346, 0.2562246061255526, 0.01024831651562178, 0.252265104277903, 0.006143611707941027, 0.2531787718119777, 0.005348118810767433, 0.25218519065528555, 0.008508476494311985, 0.25436744390462057, 0.004849223861763341, 0.2534608213373907, 0.008244088354074886, 0.25316600512931253, 0.008840617758204834, 0.2511467048873314, 0.2547239134536069, 0.007439332038926326, 0.25529420332234587, 0.004579666346982046, 0.2536170684529433, 0.2557095644501353, 0.251588199998195, 0.24954270287645108, 0.2530260406646565, 0.25683426990681774, 0.006041045216316124, 0.25072260391288065, 0.009252840321070247, 0.2541327260622839, 0.011544319502444764, 0.25685816696466196, 0.2561692994392357, 0.0046425211553970435, 0.25499767544466, 0.008373549768412574, 0.2511499719877322, 0.006622894041974097, 0.25217442301236914, 0.004552058492404052, 0.2569209304974298, 0.009847203335682352, 0.25240172956688134, 0.25165564376795646, 0.2529670219325524, 0.251588199998195, 0.010740195203476575, 0.25553695707108964, 0.008217744675092557]
2AGPEAT120	[0.13923380152602546, 0.1405050995189543, 0.1416209694505539, 0.029257842160621876, 0.14108244233242298, 0.019608754955033586, 0.14105254942600454, 0.017030953428821983, 0.14523807199712813, 0.016444482312090256, 0.14311092509344628, 0.008060048280642641, 0.14034529221451575, 0.02985738254960907, 0.1386630016596634, 0.012250925201025279, 0.13886115648357264, 0.01895014785158802, 0.14331671454468384, 0.019068753226113382, 0.14204237876646914, 0.02760870443920679, 0.13763681137080647, 0.019602275545111427, 0.1435161170220192, 0.025545425497294428, 0.1346624107210297, 0.019545214964245317, 0.14228743046008366, 0.029005621718880173, 0.14368212429348684, 0.02273172286521902, 0.13888499715667268, 0.14117450196896697, 0.015681389368146226, 0.14302699779305128, 0.014508283729206439, 0.13816361380097641, 0.1417553404187831, 0.14023964037104858, 0.13299441052014235, 0.14011354625427747, 0.1422403241325725, 0.014083246552689027, 0.1395656092989777, 0.022761320279701198, 0.14228396952228597, 0.019365230041562202, 0.1415721385389743, 0.14207051406486976, 0.011320329631699159, 0.14046701916442833, 0.028867017385040303, 0.1364315767500667, 0.019082935075156387, 0.1445112537395029, 0.014391086470964957, 0.14282099519204045, 0.03835425730454294, 0.14049096243849338, 0.13615873958446792, 0.14216200316144745, 0.1422477559924709, 0.025891773613137097, 0.14181583082840568, 0.03424579262099962]
2AGPEAT140	[0.13923380152602546, 0.1405050995189543, 0.1416209694505539, 0.029257842160621876, 0.14108244233242298, 0.019608754955033586, 0.14105254942600454, 0.017030953428821983, 0.14523807199712813, 0.016444482312090256, 0.14311092509344628, 0.008060048280642641, 0.14034529221451575, 0.02985738254960907, 0.1386630016596634, 0.012250925201025279, 0.13886115648357264, 0.01895014785158802, 0.14331671454468384, 0.019068753226113382, 0.14204237876646914, 0.02760870443920679, 0.13763681137080647, 0.019602275545111427, 0.1435161170220192, 0.025545425497294428, 0.1346624107210297, 0.019545214964245317, 0.14228743046008366, 0.029005621718880173, 0.14368212429348684, 0.02273172286521902, 0.13888499715667268, 0.14117450196896697, 0.015681389368146226, 0.14302699779305128, 0.014508283729206439, 0.13816361380097641, 0.1417553404187831, 0.14023964037104858, 0.13299441052014235, 0.14011354625427747, 0.1422403241325725, 0.014083246552689027, 0.1395656092989777, 0.022761320279701198, 0.14228396952228597, 0.019365230041562202, 0.1415721385389743, 0.14207051406486976, 0.011320329631699159, 0.14046701916442833, 0.028867017385040303, 0.1364315767500667, 0.019082935075156387, 0.1445112537395029, 0.014391086470964957, 0.14282099519204045, 0.03835425730454294, 0.14049096243849338, 0.13615873958446792, 0.14216200316144745, 0.1422477559924709, 0.025891773613137097, 0.14181583082840568, 0.03424579262099962]
3OAS100	[0.23712597860711737, 0.24719513185274844, 0.24098782988877868, 0.0029630083187855132, 0.24859202866665747, 0.0023454907848758358, 0.2438498138761944, 0.0032715260793287873, 0.25438648505751, 0.0017026729777498862, 0.24598397940248465, 0.0004369996505410717, 0.24260260624545038, 0.001308976969625958, 0.2408361777384707, 0.000830275566742515, 0.24575326649855567, 0.0026391928291226367, 0.25054663995086546, 0.0024429143204430077, 0.24164468541352005, 0.002302489850767153, 0.23729534953570325, 0.0019158839844172508, 0.2341690021318756, 0.0028036564459975708, 0.2488869725058538, 0.0014897695850265077, 0.24551197369334882, 0.003446398489346031, 0.2435141580441959, 0.002230059700847601, 0.24570757751599012, 0.25241834164681215, 0.001611222086593904, 0.24349175351029181, 0.0028945682367909303, 0.24838172546084486, 0.24623729897649643, 0.2455222736656182, 0.2401619866624067, 0.2492507715125856, 0.25083955188288326, 0.002184743755842232, 0.23244693756670395, 0.003144658078906685, 0.24150710559441277, 0.0031192184495757603, 0.24384918516925944, 0.24420497667619478, 0.001604871434973901, 0.24859528516930685, 0.003832935497903823, 0.243273595462942, 0.0023401731712777134, 0.24434231822723712, 0.001704256391699332, 0.24873177514794584, 0.006030685181381345, 0.23952197375926637, 0.24374546165013206, 0.2529670219325524, 0.24953850490846283, 0.003970953898780335, 0.24645099079912264, 0.002536315382670825]
12DGR120tipp	[0.25072384129953135, 0.25022368916685855, 0.25518309566566794, 0.00744364800543443, 0.2529387774402788, 0.007869059653409675, 0.25248823946024396, 0.007281430091347044, 0.2584283887429009, 0.006543877708268694, 0.2528358869989747, 0.000942735886518684, 0.253868242536994, 0.004619320844855911, 0.25225217506571174, 0.0023253102593790657, 0.250611998771964, 0.009338335070492346, 0.2562246061255526, 0.01024831651562178, 0.252265104277903, 0.006143611707941027, 0.2531787718119777, 0.005348118810767433, 0.25218519065528555, 0.008508476494311985, 0.25436744390462057, 0.004849223861763341, 0.2534608213373907, 0.008244088354074886, 0.25316600512931253, 0.008840617758204834, 0.2511467048873314, 0.2547239134536069, 0.007439332038926326, 0.25529420332234587, 0.004579666346982046, 0.2536170684529433, 0.2557095644501353, 0.251588199998195, 0.24954270287645108, 0.2530260406646565, 0.25683426990681774, 0.006041045216316124, 0.25072260391288065, 0.009252840321070247, 0.2541327260622839, 0.011544319502444764, 0.25685816696466196, 0.2561692994392357, 0.0046425211553970435, 0.25499767544466, 0.008373549768412574, 0.2511499719877322, 0.006622894041974097, 0.25217442301236914, 0.004552058492404052, 0.2569209304974298, 0.009847203335682352, 0.25240172956688134, 0.25165564376795646, 0.2529670219325524, 0.251588199998195, 0.010740195203476575, 0.25553695707108964, 0.008217744675092557]
2AGPEAT141	[0.13923380152602546, 0.1405050995189543, 0.1416209694505539, 0.029257842160621876, 0.14108244233242298, 0.019608754955033586, 0.14105254942600454, 0.017030953428821983, 0.14523807199712813, 0.016444482312090256, 0.14311092509344628, 0.008060048280642641, 0.14034529221451575, 0.02985738254960907, 0.1386630016596634, 0.012250925201025279, 0.13886115648357264, 0.01895014785158802, 0.14331671454468384, 0.019068753226113382, 0.14204237876646914, 0.02760870443920679, 0.13763681137080647, 0.019602275545111427, 0.1435161170220192, 0.025545425497294428, 0.1346624107210297, 0.019545214964245317, 0.14228743046008366, 0.029005621718880173, 0.14368212429348684, 0.02273172286521902, 0.13888499715667268, 0.14117450196896697, 0.015681389368146226, 0.14302699779305128, 0.014508283729206439, 0.13816361380097641, 0.1417553404187831, 0.14023964037104858, 0.13299441052014235, 0.14011354625427747, 0.1422403241325725, 0.014083246552689027, 0.1395656092989777, 0.022761320279701198, 0.14228396952228597, 0.019365230041562202, 0.1415721385389743, 0.14207051406486976, 0.011320329631699159, 0.14046701916442833, 0.028867017385040303, 0.1364315767500667, 0.019082935075156387, 0.1445112537395029, 0.014391086470964957, 0.14282099519204045, 0.03835425730454294, 0.14049096243849338, 0.13615873958446792, 0.14216200316144745, 0.1422477559924709, 0.025891773613137097, 0.14181583082840568, 0.03424579262099962]
3OAS120	[0.23712597860711737, 0.24719513185274844, 0.24098782988877868, 0.0029630083187855132, 0.24859202866665747, 0.0023454907848758358, 0.2438498138761944, 0.0032715260793287873, 0.25438648505751, 0.0017026729777498862, 0.24598397940248465, 0.0004369996505410717, 0.24260260624545038, 0.001308976969625958, 0.2408361777384707, 0.000830275566742515, 0.24575326649855567, 0.0026391928291226367, 0.25054663995086546, 0.0024429143204430077, 0.24164468541352005, 0.002302489850767153, 0.23729534953570325, 0.0019158839844172508, 0.2341690021318756, 0.0028036564459975708, 0.2488869725058538, 0.0014897695850265077, 0.24551197369334882, 0.003446398489346031, 0.2435141580441959, 0.002230059700847601, 0.24570757751599012, 0.25241834164681215, 0.001611222086593904, 0.24349175351029181, 0.0028945682367909303, 0.24838172546084486, 0.24623729897649643, 0.2455222736656182, 0.2401619866624067, 0.2492507715125856, 0.25083955188288326, 0.002184743755842232, 0.23244693756670395, 0.003144658078906685, 0.24150710559441277, 0.0031192184495757603, 0.24384918516925944, 0.24420497667619478, 0.001604871434973901, 0.24859528516930685, 0.003832935497903823, 0.243273595462942, 0.0023401731712777134, 0.24434231822723712, 0.001704256391699332, 0.24873177514794584, 0.006030685181381345, 0.23952197375926637, 0.24374546165013206, 0.2529670219325524, 0.24953850490846283, 0.003970953898780335, 0.24645099079912264, 0.002536315382670825]
