	minimum	maximum
3OAR80	0.5705902704623895	0.6712826711320758
3OAS100	0.5705902704623257	0.6712826711321981
3OAS120	0.4685583955456127	0.551245171230005
3OAS121	0.10203187491684879	0.12003749990232886
3OAS140	0.4685583955456127	0.551245171230005
3OAS141	0.10203187491684881	0.12003749990232887
3OAS160	0.2005605094949553	0.23595354058229331
3OAS161	0.10203187491684883	0.12003749990232888
3OAS181	0.0385356437447587	0.04533605146459682
3OAS60	0.5705902704626614	0.6712826711323888
3OAS80	0.5705902704623257	0.6712826711321981
3HAD100	0.5705902704626481	0.6712826711325353
3HAD120	0.46855839554561274	0.551245171230005
3HAD121	0.10203187491684881	0.12003749990232887
2AGPA140tipp	0.0	0.052520555943461875
3HAD140	0.2898931381784499	0.3410507507981394
3HAD141	0.10203187491684883	0.12003749990232888
3HAD160	0.20056050949494872	0.2359535405822867
3HAD161	0.10203187491684886	0.12003749990232891
3HAD181	0.038535643744758714	0.045336051464596835
3HAD40	0.5705902704627046	0.6712826711324931
3HAD60	0.5705902704627046	0.6712826711323222
3HAD80	0.5705902704623628	0.6712826711321512
A5PISO	0.010947626064194083	0.012879560075589325
ACKr	-81.27007832695665	-24.481182886090437
3OAR100	0.5705902704625032	0.6712826711324169
3OAR120	0.4685583955455286	0.5512451712301072
3OAR121	0.1020318749168488	0.12003749990232886
3OAR140	0.4685583955454149	0.5512451712298798
ACLS	0.0	16.336486637874906
3OAR141	0.10203187491684881	0.1200374999023267
3OAR160	0.20056050949506243	0.23595354058227258
3OAR161	0.10203187491684883	0.12003749990232672
3OAR181	0.03853564374475871	0.04533605146459602
3OAR40	0.5705902704627306	0.6712826711325306
3OAR60	0.5705902704626169	0.6712826711324169
ADNK1	0.0	33.20812499994823
ADNt2pp	0.0	4.999999999999948
ADNtex	0.0	5.0
ACOATA	0.0	0.6712826711323032
ADSL1r	0.0	4.680329318927079
ADSS	0.0	4.680329318926996
ACONTa	-3.7366439521970616	1.3499769101781485e-13
ACONTb	-3.736643952197061	1.325068104768423e-13
AGMHE	0.015326676489815255	0.01803138410566073
ACt2rpp	-85.09605490784361	-24.57051551477298
ACtex	-85.09605490784372	-24.570515514774115
ACALD	-34.56899014217477	42.126576586933524
AGPAT140	0.0	0.0525205559434643
ACCOAC	3.7646696509305824	4.429023118747091
AGPAT160	0.10028025474747435	0.11797677029115206
AGPAT161	0.03174811558604507	0.03735072421886879
AGPAT181	0.019267821872785466	0.022668025732706074
ADEt2rpp	-14.44167107071426	-2.0933004497722267
ADEtex	-14.441671070714392	-2.093300449772414
ADK1	1.0049920727014978	34.238154702196994
ARGtex	0.6699947151263359	0.7882290766189044
ASAD	-0.7392867483318923	-0.6283937360822165
ALCD2x	-49.22085563333315	-2.404646027704747e-13
ALAALAr	0.04816955468220385	0.056670064332024594
ASNS1	0.0	0.5242417093451697
ASNS2	0.0	0.5254860510792555
ASPK	0.6283937360822611	0.7392867483319363
ALAR	0.07225433202290787	0.11333106300048712
ALATA_L	-1000.0	-1.4801190438732874
ASPT	0.0	1000.0
ASPTA	-998.2657866671725	3.2461903045204963
ASPt2pp	0.0	4.999999999999904
ASPtex	0.0	5.0
ATPM	6.8	6.8
ATPS4rpp	45.91322179007068	81.36492790267482
CLPNS181pp	0.00043790504264507035	0.0005151824030917851
CO2tex	-72.18054883138257	-31.48659220991135
