id	name	mda
SUCOAS	Succinyl-CoA_synthetase	3.563905
AKGDH	2-Oxogluterate_dehydrogenase	4.034203
ACLS	Acetolactate_synthase	4.03518206308153
ATPS4rpp	ATP_synthase	4.09472072826006
GLYtex	Glycine_transport	4.50920366502972
TRDR	Thioredoxin_reductase	4.54477848682971
MDH	Malate_dehydrogenase	4.59043551747785
ARGtex	L-arginine_transport 	4.74571183968746
NDPK1	Nucleoside-diphosphate_kinase	5.7038315143883
PPK	Polyphosphate_kinase	5.90544923197404
PDH	Pyruvate_dehydrogenase	8.73922493589459
FUM	Fumarase	9.64101237271889
SUCDi	Succinate_dehydrogenase	10.0505388062506
ADK1	Adenylate_kinase	10.9883861570288
VALTA	Valine_transaminase	18.1626125586772
