reaction	linear_coefficient
4PEPTabcpp	0.10832465742420543
3PEPTabcpp	0.10643756434025047
12PPDt	0.02972105328320527
TYROXDApp	0.1365496631838426
PEAMNOpp	0.1365496631838426
42A12BOOXpp	0.1365496631838426
13PPDH	0.04100278397927432
ARGDCpp	0.12896019792472785
4HTHRS	0.08600695822493419
THRS	0.08600695822493419
ARGORNt7pp	0.05158726055750106
ARGSL	0.09043783581865984
ARGSS	0.09043783581865984
MALTTRabcpp	0.09966836685322854
MALTabcpp	0.09966836685322854
MALTPTabcpp	0.09966836685322854
14GLUCANabcpp	0.09966836685322854
MALTTTRabcpp	0.09966836685322854
MALTHXabcpp	0.09966836685322854
MALTTRtexi	0.0843250646418195
MALTtexi	0.0843250646418195
MALTHXtexi	0.0843250646418195
MALTTTRtexi	0.0843250646418195
MALTPTtexi	0.0843250646418195
GLCtex_copy2	0.0843250646418195
14GLUCANtexi	0.0843250646418195
AM4PCP	0.05704360542415983
AGM4PCP	0.05704360542415983
UM4PCP	0.05704360542415983
4PCP	0.05704360542415983
ACMUMtex	0.5495878910024792
GTHRDtex	0.5495878910024792
3GMPtex	0.5495878910024792
MAN6Ptex	0.5495878910024792
O2Stex	0.5495878910024792
TRPtex	0.5495878910024792
DMSOtex	0.5495878910024792
CO2tex	0.5495878910024792
MG2tex	0.5495878910024792
23CUMPtex	0.5495878910024792
FRULYStex	0.5495878910024792
HCINNMtex	0.5495878910024792
HYXNtex	0.5495878910024792
NOtex	0.5495878910024792
PPAtex	0.5495878910024792
SERtex	0.5495878910024792
XYLtex	0.5495878910024792
ACGAtex	0.5495878910024792
DUMPtex	0.5495878910024792
GALCTNtex	0.5495878910024792
N2Otex	0.5495878910024792
H2Stex	0.5495878910024792
ACSERtex	0.5495878910024792
UDPGLCURtex	0.5495878910024792
23CGMPtex	0.5495878910024792
HG2tex	0.5495878910024792
PROtex	0.5495878910024792
CMPtex	0.5495878910024792
GAL1Ptex	0.5495878910024792
XANtex	0.5495878910024792
DGSNtex	0.5495878910024792
H2Otex	1.0
GALCTNLtex	0.5495878910024792
34dhpactex	0.5495878910024792
ILEtex	0.5495878910024792
OROTtex	0.5495878910024792
MALDtex	0.5495878910024792
VALtex	0.5495878910024792
R5Ptex	0.5495878910024792
23CCMPtex	0.5495878910024792
G3PGtex	0.5495878910024792
XYLUtex	0.5495878910024792
HXAtex	0.5495878910024792
NAtex	0.5495878910024792
FUCtex	0.5495878910024792
RIBtex	0.5495878910024792
IMPtex	0.5495878910024792
23DAPPAtex	0.5495878910024792
HPPPNtex	0.5495878910024792
TYRtex	0.5495878910024792
ACMANAtex	0.5495878910024792
DSERtex	0.5495878910024792
GTPtex	0.5495878910024792
GLYC3Ptex	0.5495878910024792
23CAMPtex	0.5495878910024792
G3PStex	0.5495878910024792
INDOLEtex	0.5495878910024792
METDtex	0.5495878910024792
3CMPtex	0.5495878910024792
UACGAMtex	0.5495878910024792
METSOX2tex	0.5495878910024792
NO2tex	0.5495878910024792
ACtex	0.5495878910024792
G3PItex	0.5495878910024792
TCYNTtex	0.5495878910024792
4HOXPACDtex	0.5495878910024792
3AMPtex	0.5495878910024792
HOMtex	0.5495878910024792
MALtex	0.5495878910024792
PHEtex	0.5495878910024792
UMPtex	0.5495878910024792
O2tex	0.5495878910024792
GLYCtex	0.5495878910024792
ACGALtex	0.5495878910024792
DGMPtex	0.5495878910024792
DOPAtex	0.5495878910024792
DMStex	0.5495878910024792
CSNtex	0.5495878910024792
G1Ptex	0.5495878910024792
GLCURtex	0.5495878910024792
SBTtex	0.5495878910024792
CLtex	0.5495878910024792
PYRtex	0.5495878910024792
ACGAM1Ptex	0.5495878910024792
GALBDtex	0.5495878910024792
G6Ptex	0.5495878910024792
GTHOXtex	0.5495878910024792
H2O2tex	0.5495878910024792
CA2tex	0.5495878910024792
NMNtex	0.5495878910024792
FUMtex	0.5495878910024792
LYXtex	0.5495878910024792
ABUTtex	0.5495878910024792
FORtex	0.5495878910024792
ISETACtex	0.5495878910024792
NO3tex	0.5495878910024792
MOBDtex	0.5495878910024792
UDPGALtex	0.5495878910024792
SPMDtex	0.5495878910024792
GLYC2Ptex	0.5495878910024792
CRNtex	0.5495878910024792
DTMPtex	0.5495878910024792
GALCTtex	0.5495878910024792
FE3tex	0.5495878910024792
FE2tex	0.5495878910024792
GALTtex	0.5495878910024792
GLYBtex	0.5495878910024792
GLYCLTtex	0.5495878910024792
H2tex	0.5495878910024792
LEUtex	0.5495878910024792
TAURtex	0.5495878910024792
TSULtex	0.5495878910024792
NH4tex	0.5495878910024792
SKMtex	0.5495878910024792
XTSNtex	0.5495878910024792
GDPtex	0.5495878910024792
METtex	0.5495878910024792
RMNtex	0.5495878910024792
PSCLYStex	0.5495878910024792
GAMtex	0.5495878910024792
GLCUR1Ptex	0.5495878910024792
FALDtex	0.5495878910024792
THRPtex	0.5495878910024792
ASCBtex	0.5495878910024792
GALURtex	0.5495878910024792
UREAtex	0.5495878910024792
ASO3tex	0.5495878910024792
CYANtex	0.5495878910024792
ETOHtex	0.5495878910024792
UDPGtex	0.5495878910024792
PACALDtex	0.5495878910024792
SO2tex	0.5495878910024792
ALAtex	0.5495878910024792
ADEtex	0.5495878910024792
DAPtex	0.5495878910024792
CYStex	0.5495878910024792
DINStex	0.5495878910024792
GLNtex	0.5495878910024792
Ktex	0.5495878910024792
D_LACtex	0.5495878910024792
MNLtex	0.5495878910024792
ETHSO3tex	0.5495878910024792
ARBtex	0.5495878910024792
GLCtex_copy1	0.5495878910024792
HIStex	0.5495878910024792
MANtex	0.5495878910024792
AMPtex	0.5495878910024792
MELIBtex	0.5495878910024792
LCTStex	0.5495878910024792
LYStex	0.5495878910024792
THMtex	0.5495878910024792
AKGtex	0.5495878910024792
INSTtex	0.5495878910024792
TMAOtex	0.5495878910024792
URAtex	0.5495878910024792
GAMAN6Ptex	0.5495878910024792
CYSDtex	0.5495878910024792
GLCNtex	0.5495878910024792
NACtex	0.5495878910024792
SO4tex	0.5495878910024792
FRUURtex	0.5495878910024792
SUCCtex	0.5495878910024792
TUNGStex	0.5495878910024792
XMPtex	0.5495878910024792
UDPACGALtex	0.5495878910024792
BALAtex	0.5495878910024792
CYTDtex	0.5495878910024792
GLYtex	0.5495878910024792
CYNTtex	0.5495878910024792
3PEPTtex	0.5495878910024792
AGMtex	0.5495878910024792
TYRPtex	0.5495878910024792
PTRCtex	0.5495878910024792
MNtex	0.5495878910024792
CU2tex	0.5495878910024792
DHAtex	0.5495878910024792
ARGtex	0.5495878910024792
CD2tex	0.5495878910024792
ETHAtex	0.5495878910024792
ACGAL1Ptex	0.5495878910024792
IDONtex	0.5495878910024792
TMAtex	0.5495878910024792
FRUtex	0.5495878910024792
MMETtex	0.5495878910024792
PPPNtex	0.5495878910024792
5DGLCNtex	0.5495878910024792
GLYCAtex	0.5495878910024792
PSERtex	0.5495878910024792
ANHGMtex	0.5495878910024792
ORNtex	0.5495878910024792
THRtex	0.5495878910024792
PPTtex	0.5495878910024792
BUTtex	0.5495878910024792
DCMPtex	0.5495878910024792
TARTRtex	0.5495878910024792
ALAALAtex	0.5495878910024792
ALLtex	0.5495878910024792
GLUtex	0.5495878910024792
MANGLYCtex	0.5495878910024792
ASNtex	0.5495878910024792
GALtex	0.5495878910024792
PROGLYtex	0.5495878910024792
CHLtex	0.5495878910024792
DIMPtex	0.5495878910024792
TYMtex	0.5495878910024792
G3PEtex	0.5495878910024792
GMPtex	0.5495878910024792
GSNtex	0.5495878910024792
SO3tex	0.5495878910024792
26DAHtex	0.5495878910024792
BUTSO3tex	0.5495878910024792
DAMPtex	0.5495878910024792
THYMtex	0.5495878910024792
CUtex	0.5495878910024792
GLCRtex	0.5495878910024792
MSO3tex	0.5495878910024792
L_LACtex	0.5495878910024792
TREtex	0.5495878910024792
Zn2tex	0.5495878910024792
3UMPtex	0.5495878910024792
PItex	0.5495878910024792
ASPtex	0.5495878910024792
DCAtex	0.5495878910024792
F6Ptex	0.5495878910024792
PPALtex	0.5495878910024792
4PEPTtex	0.5495878910024792
METSOX1tex	0.5495878910024792
DDGLCNtex	0.5495878910024792
PEAMNtex	0.5495878910024792
ACALDtex	0.5495878910024792
COBALT2tex	0.5495878910024792
Htex	0.5495878910024792
NI2tex	0.5495878910024792
G3PCtex	0.5495878910024792
OCTAtex	0.5495878910024792
PNTOtex	0.5495878910024792
THMDtex	0.5495878910024792
CGLYtex	0.5495878910024792
SULFACtex	0.5495878910024792
GLYALDtex	0.5495878910024792
DALAtex	0.5495878910024792
ARGTRS	0.11283745574888672
5DOAN	0.04588488838234128
MTAN	0.04588488838234128
A5PISO	0.061556138633206955
AACPS8	0.17999495750063826
MCOATA	0.17999495750063826
ACOATA	0.17999495750063826
AACPS4	0.17999495750063826
AACPS5	0.17999495750063826
AACPS7	0.17999495750063826
AACPS1	0.17999495750063826
AACPS2	0.17999495750063826
AACPS9	0.17999495750063826
AACPS6	0.17999495750063826
AACPS3	0.17999495750063826
ECAP3pp	0.06606893695788824
AADDGT	0.057904966119547534
ECAP1pp	0.06606893695788824
ECAP2pp	0.06606893695788824
AAMYL	0.0969607408815466
AAMYLpp	0.08083799870570547
LYSabcpp	0.05006920843629762
ORNabcpp	0.05006920843629762
ARGabcpp	0.05006920843629762
HISabcpp	0.06094080524632026
ARGt3pp	0.02496196253438881
LYSt3pp	0.02496196253438881
AB6PGH	0.08592503749397856
APTNAT	0.08313522567570686
ABTA	0.08313522567570686
ASAD	0.07464330679790952
ABTDG	0.044859155993774026
ABUTD	0.09413010125561416
ABUTt2pp	0.08645845014990963
ALCD2x	0.181964236431183
ACALD	0.181964236431183
ACANTHAT	0.04104387690256921
ADOCBIK	0.02377238868391032
ACBIPGT	0.02377238868391032
ACCOAC	0.09187370209327352
ASCBPL	0.037310518542320016
ASCBptspp	0.38142716517950054
23PDE7pp	0.12596518660561584
23PDE9pp	0.12596518660561584
23PDE4pp	0.12596518660561584
3NTD4pp	0.12596518660561584
3NTD7pp	0.12596518660561584
