reaction	linear_coefficient
4PEPTabcpp	0.043176997295025187
3PEPTabcpp	0.043874516528501654
12PPDt	0.16284674805186405
TYROXDApp	0.036285051269386914
PEAMNOpp	0.036285051269386914
42A12BOOXpp	0.036285051269386914
13PPDH	0.11505276198793246
ARGDCpp	0.03776174535166131
4HTHRS	0.05478720626181919
THRS	0.05478720626181919
ARGORNt7pp	0.09068386312716085
ARGSL	0.05175136713504646
ARGSS	0.05175136713504646
MALTTRabcpp	0.046787342001023885
MALTabcpp	0.046787342001023885
MALTPTabcpp	0.046787342001023885
14GLUCANabcpp	0.046787342001023885
MALTTTRabcpp	0.046787342001023885
MALTHXabcpp	0.046787342001023885
MALTTRtexi	0.055484460379661496
MALTtexi	0.055484460379661496
MALTHXtexi	0.055484460379661496
MALTTTRtexi	0.055484460379661496
MALTPTtexi	0.055484460379661496
GLCtex_copy2	0.055484460379661496
14GLUCANtexi	0.055484460379661496
AM4PCP	0.08210975840277375
AGM4PCP	0.08210975840277375
UM4PCP	0.08210975840277375
4PCP	0.08210975840277375
ACMUMtex	0.017905909931205145
GTHRDtex	0.017905909931205145
3GMPtex	0.017905909931205145
MAN6Ptex	0.017905909931205145
O2Stex	0.017905909931205145
TRPtex	0.017905909931205145
DMSOtex	0.017905909931205145
CO2tex	0.017905909931205145
MG2tex	0.017905909931205145
23CUMPtex	0.017905909931205145
FRULYStex	0.017905909931205145
HCINNMtex	0.017905909931205145
HYXNtex	0.017905909931205145
NOtex	0.017905909931205145
PPAtex	0.017905909931205145
SERtex	0.017905909931205145
XYLtex	0.017905909931205145
ACGAtex	0.017905909931205145
DUMPtex	0.017905909931205145
GALCTNtex	0.017905909931205145
N2Otex	0.017905909931205145
H2Stex	0.017905909931205145
ACSERtex	0.017905909931205145
UDPGLCURtex	0.017905909931205145
23CGMPtex	0.017905909931205145
HG2tex	0.017905909931205145
PROtex	0.017905909931205145
CMPtex	0.017905909931205145
GAL1Ptex	0.017905909931205145
XANtex	0.017905909931205145
DGSNtex	0.017905909931205145
H2Otex	0.01511609811293343
GALCTNLtex	0.017905909931205145
34dhpactex	0.017905909931205145
ILEtex	0.017905909931205145
OROTtex	0.017905909931205145
MALDtex	0.017905909931205145
VALtex	0.017905909931205145
R5Ptex	0.017905909931205145
23CCMPtex	0.017905909931205145
G3PGtex	0.017905909931205145
XYLUtex	0.017905909931205145
HXAtex	0.017905909931205145
NAtex	0.017905909931205145
FUCtex	0.017905909931205145
RIBtex	0.017905909931205145
IMPtex	0.017905909931205145
23DAPPAtex	0.017905909931205145
HPPPNtex	0.017905909931205145
TYRtex	0.017905909931205145
ACMANAtex	0.017905909931205145
DSERtex	0.017905909931205145
GTPtex	0.017905909931205145
GLYC3Ptex	0.017905909931205145
23CAMPtex	0.017905909931205145
G3PStex	0.017905909931205145
INDOLEtex	0.017905909931205145
METDtex	0.017905909931205145
3CMPtex	0.017905909931205145
UACGAMtex	0.017905909931205145
METSOX2tex	0.017905909931205145
NO2tex	0.017905909931205145
ACtex	0.017905909931205145
G3PItex	0.017905909931205145
TCYNTtex	0.017905909931205145
4HOXPACDtex	0.017905909931205145
3AMPtex	0.017905909931205145
HOMtex	0.017905909931205145
MALtex	0.017905909931205145
PHEtex	0.017905909931205145
UMPtex	0.017905909931205145
O2tex	0.017905909931205145
GLYCtex	0.017905909931205145
ACGALtex	0.017905909931205145
DGMPtex	0.017905909931205145
DOPAtex	0.017905909931205145
DMStex	0.017905909931205145
CSNtex	0.017905909931205145
G1Ptex	0.017905909931205145
GLCURtex	0.017905909931205145
SBTtex	0.017905909931205145
CLtex	0.017905909931205145
PYRtex	0.017905909931205145
ACGAM1Ptex	0.017905909931205145
GALBDtex	0.017905909931205145
G6Ptex	0.017905909931205145
GTHOXtex	0.017905909931205145
H2O2tex	0.017905909931205145
CA2tex	0.017905909931205145
NMNtex	0.017905909931205145
FUMtex	0.017905909931205145
LYXtex	0.017905909931205145
ABUTtex	0.017905909931205145
FORtex	0.017905909931205145
ISETACtex	0.017905909931205145
NO3tex	0.017905909931205145
MOBDtex	0.017905909931205145
UDPGALtex	0.017905909931205145
SPMDtex	0.017905909931205145
GLYC2Ptex	0.017905909931205145
CRNtex	0.017905909931205145
DTMPtex	0.017905909931205145
GALCTtex	0.017905909931205145
FE3tex	0.017905909931205145
FE2tex	0.017905909931205145
GALTtex	0.017905909931205145
GLYBtex	0.017905909931205145
GLYCLTtex	0.017905909931205145
H2tex	0.017905909931205145
LEUtex	0.017905909931205145
TAURtex	0.017905909931205145
TSULtex	0.017905909931205145
NH4tex	0.017905909931205145
SKMtex	0.017905909931205145
XTSNtex	0.017905909931205145
GDPtex	0.017905909931205145
METtex	0.017905909931205145
RMNtex	0.017905909931205145
PSCLYStex	0.017905909931205145
GAMtex	0.017905909931205145
GLCUR1Ptex	0.017905909931205145
FALDtex	0.017905909931205145
THRPtex	0.017905909931205145
ASCBtex	0.017905909931205145
GALURtex	0.017905909931205145
UREAtex	0.017905909931205145
ASO3tex	0.017905909931205145
CYANtex	0.017905909931205145
ETOHtex	0.017905909931205145
UDPGtex	0.017905909931205145
PACALDtex	0.017905909931205145
SO2tex	0.017905909931205145
ALAtex	0.017905909931205145
ADEtex	0.017905909931205145
DAPtex	0.017905909931205145
CYStex	0.017905909931205145
DINStex	0.017905909931205145
