	minimum	maximum
3OAR80	0.08191677476588666	0.2520516146649925
3OAS100	0.0819167747659014	0.2520516146649368
3OAS120	0.06726857175702328	0.20698022079153436
3OAS121	0.014648203009079217	0.04507139387360359
3OAS140	0.06726857175702328	0.20698022079153436
3OAS141	0.014648203009079217	0.04507139387360359
3OAS160	0.02879346342478397	0.08859527207693921
3OAS161	0.014648203009079217	0.04507139387360359
3OAS181	0.00553236851830486	0.01702267236413381
3OAS60	0.08191677476616332	0.25205161466519904
3OAS80	0.0819167747659014	0.2520516146649368
3HAD100	0.08191677476603741	0.25205161466507287
3HAD120	0.06726857175702329	0.20698022079153436
3HAD121	0.014648203009079219	0.045071393873603594
3HAD140	0.04161849953552097	0.12805692164846147
3HAD141	0.014648203009079219	0.045071393873603594
3HAD160	0.02879346342491103	0.08859527207706626
3HAD161	0.014648203009079219	0.045071393873603594
3HAD181	0.005532368518304861	0.01702267236413381
3HAD40	0.08191677476617275	0.25205161466525894
3HAD60	0.08191677476617275	0.25205161466525894
3HAD80	0.0819167747659014	0.25205161466493686
A5PISO	0.0015716956017968187	0.004835986467242037
ACKr	-12.189334337307287	-4.018802567185162
3OAR100	0.08191677476600034	0.2520516146649925
3OAR120	0.06726857175704026	0.20698022079147904
3OAR121	0.014648203009079217	0.045071393873601935
3OAR140	0.06726857175704026	0.20698022079147904
3OAR141	0.014648203009079217	0.045071393873601935
3OAR160	0.02879346342479039	0.0885952720767591
3OAR161	0.014648203009079217	0.045071393873601935
3OAR181	0.005532368518304861	0.017022672364133185
3OAR40	0.08191677476622772	0.25205161466521986
3OAR60	0.08191677476622772	0.25205161466521986
ADNK1	0.03426296412334475	0.10542450498661339
ADNt2pp	0.08282835821914143	0.2548564868199371
ADNtex	0.08282835821921708	0.2548564868199037
ACOATA	0.08191677476616331	0.2520516146651897
AGMHE	0.002200373842528405	0.006770381053937399
ACt2rpp	-12.228795986878822	-4.031627603295306
ACtex	-12.228795986878842	-4.03162760329525
ADA	0.04589351157286465	0.14121080483939843
ACALD	1.5220407519342676	5.889149307833062
ACCOAC	0.540474683548647	1.6629990263053476
AGPAT160	0.014396731712455516	0.044297636038532553
AGPAT161	0.0045579172453871775	0.014024360754734708
AGPAT181	0.0027661842591524305	0.008511336182066795
ADEt2rpp	-3.159486791860445	-0.002671882522690794
ADEtex	-3.159486791860423	-0.0026718825228203395
ADK1	0.1442816562499729	0.44394355768383775
ARGtex	0.09618777083052743	0.2959623717864562
ASAD	-0.2775856232115075	-0.09021532754366035
AKGDH	1.533373574676333	4.58986653563632
ALAALAr	0.006915460647974214	0.02127834045529653
ASNS2	0.06412518055368495	0.19730824785763743
ASPK	0.09021532754364196	0.2775856232114575
ALAR	0.010373190972131852	0.03191751068300164
ALATA_L	-0.653825370352024	-0.21249324536438507
ASPTA	-0.7747250320292096	-0.25178563540941923
ATPM	6.8	6.8
ATPS4rpp	20.524772444334662	54.24353854556241
CLPNS181pp	6.286782399911317e-05	0.00019343945859873202
CO2tex	-16.46634952448459	-5.999526109009754
CO2tpp	-16.466349524484713	-5.999526109009935
CLPNS160pp	0.0004086408565626698	0.0012573564814601923
CLPNS161pp	0.00012573564811191318	0.0003868789174248377
CTPS2	0.043693137730379646	0.13444042378552376
CYSabcpp	0.024518451388173663	0.07544138888674373
CYStex	0.024518451388173663	0.07544138888674373
CYTBO3_4pp	12.121553316633854	32.420476198375674
DCYTt2pp	0.0	4.999999999998953
DCYTtex	1.1368683772161603e-13	4.999999999998522
CYTK1	0.021720833217045765	0.0668333329753068
DADNt2pp	0.0	3.153444964396153
DADNtex	1.1368683772161603e-13	3.1534449643963853
DHDPRy	0.006915460647936305	0.0212783404552225
DHDPS	0.0069154606479363044	0.021278340455222495
DALAt2pp	0.0034577303239732085	0.010639170227616302
DAPE	0.006915460648087901	0.021278340455182843
DASYN160	0.014396731712455514	0.04429763603853312
DASYN161	0.004557917245387178	0.014024360754734889
DASYN181	0.002766184259152431	0.008511336182066906
DCYTD	0.0	4.999999999999948
DRPA	1.5220407519332466	5.8891493078333434
DTMPK	0.04997992013727526	0.15378436965363562
ARGabcpp	0.09618777083052743	0.2959623717864171
DURIPP	0.0	5.0
ENO	1.3407299473094196	5.331269908988379
EAR100y	0.06726857175702328	0.2069802207915344
EAR120y	0.06726857175702328	0.2069802207915344
EAR121y	0.014648203009079217	0.045071393873603594
EAR140y	0.041618499535520964	0.1280569216484615
EAR141y	0.014648203009079217	0.045071393873603594
EAR160y	0.028793463424911025	0.08859527207706624
EAR161y	0.014648203009079217	0.045071393873603594
FA140ACPHi	0.012825036110736992	0.03946164957152229
EAR181y	0.005532368518304861	0.01702267236413381
EAR40y	0.08191677476617275	0.25205161466525894
EAR60y	0.0819167747659014	0.2520516146649368
EAR80y	0.0819167747659014	0.2520516146649368
FRUpts2pp	0.11875731967214508	0.3654071374536325
FRUtex	0.11875731967214508	0.3654071374536325
FUM	1.5333735746764887	4.589866535635792
G1PACT	0.026655957406556057	0.08201833048191373
G1PTT	0.04463615509129051	0.13734201566559226
G3PAT160	0.014396731712455512	0.04429763603853312
G3PAT161	0.0045579172453871775	0.01402436075473489
G3PAT181	0.0027661842591524305	0.008511336182066905
GALUi	0.025147129629019438	0.07737578347369649
G3PD2	-0.07186275890103389	-0.023355396642841697
GAPD	1.4997855422119468	5.820671739458823
GF6PTA	0.030113687730489582	0.09265750070949104
GK1	0.045893511572899115	0.14121080483948845
GLA	-0.0009671972934484074	-0.00031433912033662637
GLNS	0.1985994562443953	0.6110752499827368
GLYCtpp	-0.0018376748577111357	-0.000597244328787383
GLYK	0.0005972443289138489	0.0018376748577249426
GLUDxi	0.869548131944839	4.211289565970674
GLUDy	-1.046583508758431	0.5586421162441866
GLUR	-0.021278340455182843	-0.006915460647974214
GLYt2pp	0.16942878587468724	0.5213193411532188
