gene	transcript_abund
KPN_00001	16.712
KPN_00002	613.248
KPN_00003	233.817
KPN_00004	323.413
KPN_00005	83.716
KPN_00006	191.417
KPN_00007	230.103
KPN_00008	377.574
KPN_00009	143.911
KPN_00010	317.224
KPN_00011	138.805
KPN_00012	143.756
KPN_00013	58.802
KPN_00014	631.043
KPN_00015	281.633
KPN_00016	290.608
KPN_00017	187.394
KPN_00018	101.202
KPN_00020	235.364
KPN_00021	837.161
KPN_00022	128.282
KPN_00023	114.046
KPN_00024	235.364
KPN_00025	220.2
KPN_00026	55.089
KPN_00027	136.329
KPN_00028	110.796
KPN_00029	239.697
KPN_00030	158.457
KPN_00031	216.331
KPN_00032	29.865
KPN_00033	168.051
KPN_00034	129.984
KPN_00035	43.173
KPN_00036	112.653
KPN_00037	190.953
KPN_00038	115.438
KPN_00039	202.404
KPN_00040	291.227
KPN_00041	796.618
KPN_00042	50.911
KPN_00043	94.393
KPN_00044	324.342
KPN_00045	118.533
KPN_00046	209.368
KPN_00047	90.68
KPN_00048	207.511
KPN_00049	240.162
KPN_00050	323.878
KPN_00051	696.035
KPN_00052	170.218
KPN_00053	171.146
KPN_00054	397.845
KPN_00055	332.389
KPN_00056	129.984
KPN_00057	160.314
KPN_00058	620.985
KPN_00059	395.06
KPN_00060	130.758
KPN_00061	367.051
KPN_00062	332.079
KPN_00063	209.832
KPN_00064	186.775
KPN_00065	103.987
KPN_00066	266.158
KPN_00067	233.817
KPN_00068	352.196
KPN_00069	38.686
KPN_00070	192.965
KPN_00071	173.931
KPN_00072	150.72
KPN_00073	183.526
KPN_00074	160.314
KPN_00075	117.45
KPN_00076	269.408
KPN_00077	154.279
KPN_00078	351.267
KPN_00079	274.515
KPN_00080	395.369
KPN_00081	115.129
KPN_00082	432.972
KPN_00083	123.33
KPN_00084	251.458
KPN_00085	123.485
KPN_00086	240.626
KPN_00087	92.846
KPN_00088	441.018
KPN_00089	372.622
KPN_00090	332.853
KPN_00091	268.789
KPN_00092	327.746
KPN_00093	316.14
KPN_00094	267.396
KPN_00095	367.979
KPN_00096	233.353
KPN_00097	207.356
KPN_00098	317.533
KPN_00099	489.298
KPN_00100	1334.351
KPN_00101	107.392
KPN_00102	672.978
