reaction	linear_coefficient
EX_cd2_e	0.06720228157770139
3OAR80	0.09525781622013668
EX_cbi_e	0.06720228157770139
EX_cbl1_e	0.06720228157770139
2AGPEAT120	0.10179163827802014
2AGPEAT140	0.10179163827802014
3OAS100	0.1551383736682687
12DGR120tipp	0.06720228157770139
2AGPEAT141	0.10179163827802014
3OAS120	0.1551383736682687
2AGPEAT160	0.10179163827802014
2AGPEAT161	0.10179163827802014
2AGPEAT180	0.10179163827802014
12DGR140tipp	0.06720228157770139
2AGPEAT181	0.10179163827802014
3OAS121	0.12154684144126778
2AGPG120tipp	0.04879081111436545
2AGPG140tipp	0.04879081111436545
12DGR141tipp	0.06720228157770139
12DGR160tipp	0.06720228157770139
12DGR161tipp	0.06720228157770139
2AGPG141tipp	0.04879081111436545
12DGR180tipp	0.06720228157770139
3OAS140	0.1551383736682687
12DGR181tipp	0.06720228157770139
2AGPG160tipp	0.04879081111436545
3OAS141	0.12154684144126778
2AGPG161tipp	0.04879081111436545
2AGPG180tipp	0.04879081111436545
2AGPG181tipp	0.04879081111436545
2AGPGAT120	0.10179163827802014
2AGPGAT140	0.10179163827802014
2AGPGAT141	0.10179163827802014
2AGPGAT160	0.10179163827802014
2AGPGAT161	0.10179163827802014
2AGPGAT180	0.10179163827802014
3OAS160	0.1551383736682687
2AGPGAT181	0.10179163827802014
3OAS161	0.12154684144126778
3OAS180	0.1551383736682687
3OAS181	0.10536602328615641
3OAS60	0.1551383736682687
3OAS80	0.1551383736682687
3OXCOAT	0.07338872944992673
3PEPTabcpp	0.09917810945486676
12PPDt	0.02811318601353425
3PEPTtex	0.5176117608912036
2DGLCNRx	0.055862712635839314
2DGLCNRy	0.055862712635839314
13PPDH	0.038797906790543686
2DGULRx	0.055862712635839314
3UMPtex	0.5176117608912036
2DGULRy	0.055862712635839314
13PPDtex	0.06720228157770139
13PPDtpp	0.06720228157770139
42A12BOOXpp	0.128657177210141
14GLUCANabcpp	0.09406635455075793
4HOXPACDtex	0.5176117608912036
14GLUCANtexi	0.07884639258062939
23CAMPtex	0.5176117608912036
23CCMPtex	0.5176117608912036
23CGMPtex	0.5176117608912036
23CUMPtex	0.5176117608912036
23DAPPAt2pp	0.06720228157770139
2INSD	0.04210325206688473
2MAHMP	0.04909828509355997
4HTHRS	0.08007628849740744
34dhpactex	0.5176117608912036
3AMPtex	0.5176117608912036
23DAPPAtex	0.5176117608912036
23PDE2pp	0.11862583863891989
23PDE4pp	0.11862583863891989
3CMPtex	0.5176117608912036
23PDE7pp	0.11862583863891989
4PCP	0.053441355049682504
23PDE9pp	0.11862583863891989
3GMPtex	0.5176117608912036
3HAD100	0.05409473725547085
3HAD120	0.05409473725547085
4PCPpp	0.06720228157770139
3HAD121	0.05409473725547085
26DAHtex	0.5176117608912036
2AGPA120tipp	0.04879081111436545
2AGPA140tipp	0.04879081111436545
3HAD140	0.05409473725547085
3HAD141	0.05409473725547085
3HAD160	0.05409473725547085
2AGPA141tipp	0.04879081111436545
2AGPA160tipp	0.04879081111436545
2AGPA161tipp	0.04879081111436545
