reaction	linear_coefficient
EX_cd2_e	[0.25409129675257863, 0.012868076096453974, 0.2549234971695438, 0.022245911143673386, 0.24849435899182193, 0.009613980849810091, 0.25229709083360713, 0.009355297187208981, 0.2543165171943884, 0.010714586721140769, 0.2521995309735522, 0.006001898796669502, 0.2521434310625493, 0.01405839031573089, 0.2534334315328033, 0.005638110622423403, 0.2532317416826812, 0.003412281647311201, 0.24870453863263156, 0.0032355315492281654, 0.2501259221728128, 0.003883574168763218, 0.2505511181841171, 0.004618256371938015, 0.2542694803264102, 0.0057621711268086885, 0.2521934506056733, 0.006149283490576396, 0.24869948766013467, 0.0035911966226036046, 0.2566075730382721, 0.00352812437146197, 0.25392656231846367, 0.0033191697273120538]
3OAR80	[0.4056400851445663, 0.006947437512517765, 0.40329874763558554, 0.011139709182221753, 0.39833728833144477, 0.00367030215244078, 0.39145854736709634, 0.0035860016712568913, 0.3963376925464269, 0.0035001596475596536, 0.40352809341175766, 0.004153392845722896, 0.4066234559202852, 0.007665217045182651, 0.42902008505485295, 0.0028108828165683483, 0.40777844676034314, 0.0014572078318137822, 0.3996983021804365, 0.00143531668097531, 0.40892269273675647, 0.0016877190325163235, 0.39192406991102713, 0.001580823337355135, 0.4098042119509266, 0.0022230585907739363, 0.4048420352297445, 0.002101318414688207, 0.3896393719720005, 0.001555648034027559, 0.4070731980378929, 0.0014724346445400779, 0.39693832981861954, 0.0013193856833948671]
EX_cbi_e	[0.25409129675257863, 0.012868076096453974, 0.2549234971695438, 0.022245911143673386, 0.24849435899182193, 0.009613980849810091, 0.25229709083360713, 0.009355297187208981, 0.2543165171943884, 0.010714586721140769, 0.2521995309735522, 0.006001898796669502, 0.2521434310625493, 0.01405839031573089, 0.2534334315328033, 0.005638110622423403, 0.2532317416826812, 0.003412281647311201, 0.24870453863263156, 0.0032355315492281654, 0.2501259221728128, 0.003883574168763218, 0.2505511181841171, 0.004618256371938015, 0.2542694803264102, 0.0057621711268086885, 0.2521934506056733, 0.006149283490576396, 0.24869948766013467, 0.0035911966226036046, 0.2566075730382721, 0.00352812437146197, 0.25392656231846367, 0.0033191697273120538]
EX_cbl1_e	[0.25409129675257863, 0.012868076096453974, 0.2549234971695438, 0.022245911143673386, 0.24849435899182193, 0.009613980849810091, 0.25229709083360713, 0.009355297187208981, 0.2543165171943884, 0.010714586721140769, 0.2521995309735522, 0.006001898796669502, 0.2521434310625493, 0.01405839031573089, 0.2534334315328033, 0.005638110622423403, 0.2532317416826812, 0.003412281647311201, 0.24870453863263156, 0.0032355315492281654, 0.2501259221728128, 0.003883574168763218, 0.2505511181841171, 0.004618256371938015, 0.2542694803264102, 0.0057621711268086885, 0.2521934506056733, 0.006149283490576396, 0.24869948766013467, 0.0035911966226036046, 0.2566075730382721, 0.00352812437146197, 0.25392656231846367, 0.0033191697273120538]
2AGPEAT120	[0.1397802106511936, 0.012150422934764737, 0.1452421845701366, 0.021810373811851757, 0.14275119535013023, 0.025189708029082238, 0.14096792560681579, 0.031144690073349458, 0.14064172714683013, 0.03960069827166043, 0.14074876351981389, 0.018078066416326675, 0.14299679667708348, 0.04623855297921672, 0.13864258551074485, 0.021418846218503245, 0.1415530581270112, 0.007257876767120555, 0.13450820555844187, 0.0068188976376935655, 0.14043237445677648, 0.007673929922616781, 0.1391029529211648, 0.01318993507608877, 0.13984267226722927, 0.015557929039047732, 0.1335620599334081, 0.017371978788498353, 0.13617490260469348, 0.00821391192872096, 0.13986700191787665, 0.007394402357865066, 0.13877050053620954, 0.00797510030975628]
2AGPEAT140	[0.1397802106511936, 0.012150422934764737, 0.1452421845701366, 0.021810373811851757, 0.14275119535013023, 0.025189708029082238, 0.14096792560681579, 0.031144690073349458, 0.14064172714683013, 0.03960069827166043, 0.14074876351981389, 0.018078066416326675, 0.14299679667708348, 0.04623855297921672, 0.13864258551074485, 0.021418846218503245, 0.1415530581270112, 0.007257876767120555, 0.13450820555844187, 0.0068188976376935655, 0.14043237445677648, 0.007673929922616781, 0.1391029529211648, 0.01318993507608877, 0.13984267226722927, 0.015557929039047732, 0.1335620599334081, 0.017371978788498353, 0.13617490260469348, 0.00821391192872096, 0.13986700191787665, 0.007394402357865066, 0.13877050053620954, 0.00797510030975628]
3OAS100	[0.23590544214554005, 0.00472271271128113, 0.24357715448684655, 0.00765541052764869, 0.23466006785395477, 0.0030359965207057147, 0.24910797412138136, 0.00296786286597631, 0.2535265991773151, 0.003045707548436434, 0.23367942969487562, 0.0023602313843255887, 0.24521348602220222, 0.003986463710733106, 0.25163105810563047, 0.0024967463936955646, 0.24752346770231795, 0.0011090440016567075, 0.2430855012814879, 0.0013158711446931302, 0.24463964539046973, 0.0012685931558882855, 0.23841540067251363, 0.001502575647939651, 0.24910590038463531, 0.001690386040707481, 0.2364712181069393, 0.001924164582045398, 0.24528965174936376, 0.0009884913662182027, 0.237871431994258, 0.0010059512065078025, 0.24129098446704422, 0.0008771257506054892]
12DGR120tipp	[0.25409129675257863, 0.012868076096453974, 0.2549234971695438, 0.022245911143673386, 0.24849435899182193, 0.009613980849810091, 0.25229709083360713, 0.009355297187208981, 0.2543165171943884, 0.010714586721140769, 0.2521995309735522, 0.006001898796669502, 0.2521434310625493, 0.01405839031573089, 0.2534334315328033, 0.005638110622423403, 0.2532317416826812, 0.003412281647311201, 0.24870453863263156, 0.0032355315492281654, 0.2501259221728128, 0.003883574168763218, 0.2505511181841171, 0.004618256371938015, 0.2542694803264102, 0.0057621711268086885, 0.2521934506056733, 0.006149283490576396, 0.24869948766013467, 0.0035911966226036046, 0.2566075730382721, 0.00352812437146197, 0.25392656231846367, 0.0033191697273120538]
2AGPEAT141	[0.1397802106511936, 0.012150422934764737, 0.1452421845701366, 0.021810373811851757, 0.14275119535013023, 0.025189708029082238, 0.14096792560681579, 0.031144690073349458, 0.14064172714683013, 0.03960069827166043, 0.14074876351981389, 0.018078066416326675, 0.14299679667708348, 0.04623855297921672, 0.13864258551074485, 0.021418846218503245, 0.1415530581270112, 0.007257876767120555, 0.13450820555844187, 0.0068188976376935655, 0.14043237445677648, 0.007673929922616781, 0.1391029529211648, 0.01318993507608877, 0.13984267226722927, 0.015557929039047732, 0.1335620599334081, 0.017371978788498353, 0.13617490260469348, 0.00821391192872096, 0.13986700191787665, 0.007394402357865066, 0.13877050053620954, 0.00797510030975628]
3OAS120	[0.23590544214554005, 0.00472271271128113, 0.24357715448684655, 0.00765541052764869, 0.23466006785395477, 0.0030359965207057147, 0.24910797412138136, 0.00296786286597631, 0.2535265991773151, 0.003045707548436434, 0.23367942969487562, 0.0023602313843255887, 0.24521348602220222, 0.003986463710733106, 0.25163105810563047, 0.0024967463936955646, 0.24752346770231795, 0.0011090440016567075, 0.2430855012814879, 0.0013158711446931302, 0.24463964539046973, 0.0012685931558882855, 0.23841540067251363, 0.001502575647939651, 0.24910590038463531, 0.001690386040707481, 0.2364712181069393, 0.001924164582045398, 0.24528965174936376, 0.0009884913662182027, 0.237871431994258, 0.0010059512065078025, 0.24129098446704422, 0.0008771257506054892]
