	minimum	maximum
3OAR80	0.22083628846235115	0.5888967692359302
3OAS100	0.22083628846229145	0.5888967692360757
3OAS120	0.1813467602872247	0.48359136076945564
3OAS121	0.03948952817517921	0.1053054084666198
3OAS140	0.18134676028736052	0.4835913607694555
3OAS141	0.03948952817517921	0.10530540846661979
3OAS160	0.07762319272064043	0.20699518059103797
3OAS161	0.03948952817517921	0.10530540846661977
3OAS181	0.014914499911472714	0.0397719997642169
3OAS60	0.22083628846229145	0.5888967692360758
3OAS80	0.22083628846229145	0.5888967692360757
3HAD100	0.22083628846231823	0.5888967692360756
3HAD120	0.18134676028736055	0.48359136076945564
3HAD121	0.039489528175179214	0.10530540846661982
2AGPA140tipp	0.0	0.04607407670523602
3HAD140	0.1121977152429419	0.2991939073171772
3HAD141	0.039489528175179214	0.10530540846661979
3HAD160	0.07762319272070183	0.20699518059103797
3HAD161	0.03948952817517921	0.10530540846661977
3HAD181	0.014914499911472716	0.03977199976421691
3HAD40	0.22083628846229147	0.588896769236076
3HAD60	0.22083628846229147	0.5888967692360758
3HAD80	0.22083628846229147	0.5888967692360757
A5PISO	0.004237073838567085	0.011298863569322748
ACKr	-60.2841461493357	0.08098721227634087
3OAR100	0.22083628846348802	0.5888967692362712
3OAR120	0.18134676028853391	0.4835913607694238
3OAR121	0.0394895281749808	0.10530540846662192
3OAR140	0.18134676028842023	0.4835913607693101
3OAR141	0.03948952817498078	0.1053054084666231
3OAR160	0.07762319272160312	0.20699518059097954
3OAR161	0.03948952817498078	0.10530540846662306
3OAR181	0.014914499911580722	0.03977199976421719
3OAR40	0.22083628846348802	0.5888967692360438
3OAR60	0.22083628846348802	0.5888967692363849
ADNK1	0.09236820968354045	0.2463152258110081
ADNt2pp	0.0	4.999999999999948
ADNtex	0.0	5.0
ACOATA	0.0	0.5888967692360859
ACONTa	0.0	40.21248044790951
ACONTb	0.0	40.2124804479053
AGMHE	0.005931903373923825	0.01581840899713004
ACt2rpp	-60.31872067185884	-5.684341886080801e-13
ACtex	-60.31872067185881	0.0
ADA	0.0	0.3281841900426076
ACALD	-66.63254274480255	14.865261051935716
AGPAT140	0.0	0.04607407670522506
ACCOAC	1.4570449515893842	3.8854532042379453
ALAtex	0.0	4.999999999999999
AGPAT160	0.03881159636081704	0.10349759029552358
AGPAT161	0.012287514131699503	0.03276670435120287
AGPAT181	0.0074572499557895595	0.01988599988210933
ADEt2rpp	-9.907631790324672	-2.2737367544323206e-13
ADEtex	-9.90763179032462	-9.549764373147781e-14
ADK1	0.3889633783747968	1.8190226165902459
ARGtex	0.25930891891724467	0.691490450446051
ASAD	-0.6485547688822635	-0.24320803833086302
AKGDH	0.0	24.824051106308723
ALCD2x	-81.49780379673682	0.0
ALAALAr	0.018643124889308638	0.0497149997050883
ASNS1	0.0	0.45987190153188445
ASNS2	0.0	0.4609936336306108
ASPK	0.24320803833086416	0.648554768882285
ALAR	0.027964687333906113	0.0745724995576893
ALATA_L	-1.5124508614019305	4.4271476170328015
ALAt2pp	0.0	4.999999999999999
ASPTA	-1.7737774181692885	4.3212207710696475
ASPt2_2pp	0.0	5.0
ASPt2pp	0.0	5.000000000000001
ASPtex	-2.2737367544323206e-13	5.0
ATPM	6.8	6.8
ATPS4rpp	-19.932044254316047	119.86807001313448
CLPNS181pp	0.00016948295353813592	0.00045195454276836244
CO2tex	-102.87005624617245	9.383082049111977
CO2tpp	-102.87005624617154	9.383082049111636
