reaction	linear_coefficient
3PEPTabcpp	0.005636361997504895
4PEPTabcpp	0.008216914581145015
12PPDt	0.00013449948561182766
PEAMNOpp	0.00023811943963672285
42A12BOOXpp	0.00023811943963672285
TYROXDApp	0.00023811943963672285
13PPDH	0.00015905597719822895
ARGDCpp	0.010792314239792083
THRS	0.0013458316378951653
4HTHRS	0.0013458316378951653
ARGORNt7pp	0.00019244352192563383
ARGSS	0.0029429520358266953
ARGSL	0.0029429520358266953
MALTPTabcpp	0.0034031407800084166
14GLUCANabcpp	0.0034031407800084166
MALTabcpp	0.0034031407800084166
MALTHXabcpp	0.0034031407800084166
MALTTTRabcpp	0.0034031407800084166
MALTTRabcpp	0.0034031407800084166
MALTTTRtexi	0.008112402939869067
MALTHXtexi	0.008112402939869067
MALTPTtexi	0.008112402939869067
GLCtex_copy2	0.008112402939869067
MALTtexi	0.008112402939869067
14GLUCANtexi	0.008112402939869067
MALTTRtexi	0.008112402939869067
UM4PCP	0.0003413409360363452
4PCP	0.0003413409360363452
AGM4PCP	0.0003413409360363452
AM4PCP	0.0003413409360363452
NMNtex	0.030373143669681427
NI2tex	0.030373143669681427
THMtex	0.030373143669681427
CD2tex	0.030373143669681427
GALCTtex	0.030373143669681427
3UMPtex	0.030373143669681427
L_LACtex	0.030373143669681427
SUCCtex	0.030373143669681427
ANHGMtex	0.030373143669681427
ABUTtex	0.030373143669681427
METtex	0.030373143669681427
3GMPtex	0.030373143669681427
CUtex	0.030373143669681427
TAURtex	0.030373143669681427
23CGMPtex	0.030373143669681427
DMStex	0.030373143669681427
HOMtex	0.030373143669681427
CYNTtex	0.030373143669681427
ACMANAtex	0.030373143669681427
GAMAN6Ptex	0.030373143669681427
MELIBtex	0.030373143669681427
FALDtex	0.030373143669681427
ILEtex	0.030373143669681427
NOtex	0.030373143669681427
ASPtex	0.030373143669681427
GAMtex	0.030373143669681427
MALDtex	0.030373143669681427
TCYNTtex	0.030373143669681427
UACGAMtex	0.030373143669681427
G3PEtex	0.030373143669681427
ARBtex	0.030373143669681427
PPPNtex	0.030373143669681427
ACSERtex	0.030373143669681427
GALURtex	0.030373143669681427
GALCTNtex	0.030373143669681427
IDONtex	0.030373143669681427
IMPtex	0.030373143669681427
DUMPtex	0.030373143669681427
HPPPNtex	0.030373143669681427
ETOHtex	0.030373143669681427
NO2tex	0.030373143669681427
ACGAtex	0.030373143669681427
DAPtex	0.030373143669681427
