	minimum	maximum
3OAR80	0.2323862449295575	0.3098483265731602
3OAS100	0.23238624492960724	0.3098483265731892
3OAS120	0.19083137534566258	0.2544418337942168
3OAS121	0.04155486958411424	0.05540649277909061
3OAS140	0.19083137534566258	0.2544418337942168
3OAS141	0.04155486958411426	0.05540649277909063
3OAS160	0.08168296253126354	0.10891061670830827
3OAS161	0.04155486958411426	0.05540649277909063
3OAS181	0.015694543018573245	0.0209260573583717
3OAS60	0.232386244929835	0.309848326573417
3OAS80	0.23238624492960724	0.3098483265731892
3HAD100	0.23238624492980653	0.30984832657335076
3HAD120	0.19083137534566255	0.2544418337942168
3HAD121	0.04155486958411426	0.055406492779090634
3HAD140	0.11806576680278523	0.15742102240366646
3HAD141	0.041554869584114265	0.05540649277909064
3HAD160	0.08168296253129258	0.10891061670833731
3HAD161	0.041554869584114265	0.05540649277909064
3HAD181	0.015694543018573242	0.0209260573583717
3HAD40	0.2323862449298362	0.30984832657351374
3HAD60	0.23238624492966528	0.3098483265733428
3HAD80	0.23238624492966528	0.3098483265731719
A5PISO	0.004458676993976951	0.005944902658825413
ACKr	0.03638280427139762	0.048510405695083136
3OAR100	0.23238624492978488	0.3098483265732739
3OAR120	0.1908313753457378	0.25444183379431706
3OAR121	0.04155486958411425	0.05540649277909063
3OAR140	0.1908313753456241	0.2544418337942034
ACLS	3.18367372083868	11.814618797688524
3OAR141	0.041554869584114265	0.055406492777868334
3OAR160	0.08168296253131757	0.10891061670758972
3OAR161	0.041554869584114265	0.055406492777868334
3OAR181	0.01569454301857324	0.020926057356872346
3OAR40	0.23238624492989857	0.30984832657168226
3OAR60	0.23238624492978488	0.3098483265715686
ADNK1	0.09719915847494359	0.12959887795977396
ADNt2pp	0.22739252670132723	0.3031900355950544
ADNtex	0.22739252670135102	0.30319003560020974
ACOATA	0.23238624492989857	0.30984832657350125
ABTA	1.2288113795628337	2.1719941308780513
ACONTa	3.3449200693720513	5.84732667139167
ACONTb	3.3449200693720513	5.84732667139167
ABUTD	1.228811379562834	2.171994130878137
AGMHE	0.006242147791682643	0.008322863722243523
ADA	0.13019336822638364	0.17359115763528038
AGMPTRCtpp	1.2288113795625577	2.17199413087792
ACALD	3.410605131648481e-13	4.858214071588918
AGMT	1.2288113795631488	2.1719941308780903
ACCOAC	1.5332498447133673	2.0443331262720186
AGPAT160	0.040841481265646275	0.05445530835379518
AGPAT161	0.012930163282770508	0.017240217710497992
AGPAT181	0.00784727150948437	0.010463028679312493
ADK1	0.7000122880720028	0.9333497174228569
ARGtex	1.5016824115995178	2.444865162914425
ASAD	-0.3412374126120312	-0.2559280594591655
AKGDH	2.8303887442576556	5.166588529148929
ALAALAr	0.019618178773839645	0.02615757169837707
ASNS2	0.18191402135760845	0.24255202847679105
ASPK	0.2559280594591655	0.3412374126120312
ALAR	0.029427268160702624	0.03923635754767929
ALATA_L	-0.8037508394623956	-0.6028131295968251
ASPTA	-0.9523734059310982	-0.7142800544484089
ATPM	6.8	6.8
ATPS4rpp	45.24251983786553	66.7818580262209
CLPNS181pp	0.0001783470797818154	0.00023779610637575388
CO2tex	-28.1746873693819	-21.15162476252374
CO2tpp	-26.41336632085131	-19.922813382961067
CS	3.344920069371994	5.847326671391619
CLPNS160pp	0.0011592560185818002	0.001545674691556087
CLPNS161pp	0.0003566941595636308	0.00047559221275150776
CTPS2	0.12395122043490941	0.165268293913176
CYSabcpp	0.06955536110732088	0.09274048147642013
CYStex	0.06955536110729099	0.09274048147642588
CYTBO3_4pp	25.012876254185006	36.99999999999959
DCYTt2pp	0.14178592841092477	4.999999999999948
DCYTtex	0.14178592841096815	5.0
CYTK1	0.06161891605802339	0.08215855474395539
DHAD1	3.1836737208384087	11.814618797688523
DHDPRy	0.0196181787738791	0.02615757169850547
DHDPS	0.019618178773879103	0.02615757169850547
DALAt2pp	0.009809089386929868	0.013078785849239825
DHFR	0.14178592841096815	0.18904790454814702
DAPE	0.019618178773953332	0.026157571698490756
DASYN160	0.04084148126564628	0.05445530835379518
DASYN161	0.012930163282770512	0.017240217710497992
DASYN181	0.007847271509484373	0.010463028679312494
DCYTD	0.14178592841092477	4.9999999999999485
ARGDCpp	1.2288113795629207	2.1719941308780464
DRPA	0.0	4.858214071588941
DTMPK	0.14178592841096815	0.18904790454803333
ARGabcpp	0.27287103203641266	0.3638280427152169
DURIK1	0.14178592841103402	0.1890479045481369
DURIPP	-2.2737367544323206e-13	4.8582140715888045
ENO	13.436053755206672	23.624141453174502
EAR100x	0.19083137534566258	0.2544418337937188
EAR120x	0.19083137534566258	0.2544418337937188
EAR121x	0.04155486958411425	0.05540649277786833
EAR140x	0.11806576680278523	0.15742102240294406
EAR141x	0.04155486958411426	0.055406492777868334
EAR160x	0.08168296253129256	0.10891061670759034
EAR161x	0.04155486958411426	0.055406492777868334
FA140ACPHi	0.0363828042715217	0.04851040569536226
EAR181x	0.01569454301896874	0.020926057358624985
EAR40x	0.23238624492983617	0.3098483265716335
EAR60x	0.23238624492966525	0.3098483265716335
EAR80x	0.23238624492966525	0.30984832657146266
FRUpts2pp	2.288349589968847	5.000000000000345
FRUtex	2.2883495899687887	5.000000000000341
FBA	6.752594962362764	9.464245372394203
FUM	5.002382875135822	6.811203922700429
G1PACT	0.07561916181910795	0.10082554909228346
G1PTT	0.12662642663127646	0.16883523550835453
G3PAT160	0.040841481265646275	0.05445530835416864
G3PAT161	0.012930163282770506	0.017240217710359464
G3PAT181	0.00784727150948437	0.010463028679331462
GALUi	0.07133883190501392	0.09511844253998748
G3PD2	-0.08834125350836075	-0.06625594013155478
GAPD	13.436053755208263	23.62414145317439
GF6PTA	0.08542825120593929	0.1139043349415522
GHMT2r	-0.60162414906506	-0.4512181117987666
GK1	0.1301933682265144	0.17359115763542832
GLA	-0.0011889805317650826	-0.0008917353987953902
GLCptspp	2.2883495899692687	5.000000000000059
GLCtex_copy1	2.2883495899692434	5.0
GLNS	0.5633984249690518	0.7511978999593373
GLYCtpp	-0.002259063010569662	-0.0016942972580409332
GLYK	0.0016942972580171122	0.0022590630103852417
GLUDxi	-17.130183366892652	-2.3686185856281554
GLUDy	-0.2086750640179389	7.8083101430282795
GLUR	-0.026157571698490756	-0.01961817877372596
GLYt2pp	1.5248675319680935	2.033156709290927
GLYtex	1.5248675319680842	2.0331567092908926
GMHEPAT	0.006242147791682644	0.008322863722243523
GMHEPK	0.006242147791682644	0.008322863722243525
GMHEPPA	0.006242147791682644	0.008322863722243525
GMPS2	0.13019336822643962	0.17359115763536265
GLYCL	0.5930040402098086	0.7906720536131697
GLYCLTt2rpp	-30.791088381971463	-19.840171917875864
GLYCLTt4pp	19.84017191787594	30.791088381970916
H2Otex	-34.10954507900101	-23.042670569223446
H2Otpp	-34.109545079000895	-23.04267056922356
HCO3E	1.5332498447133958	2.044333126285551
HXPRT	0.13019336822643962	0.17359115763526645
Htex	-1.8094056003559444	-0.8662228490301231
ICDHyr	3.3449200693722787	5.84732667139167
ILEt2rpp	0.17745534436346588	0.2366071258180682
ILEtex	0.17745534436357957	0.2366071258180682
IMPD	0.13019336822643962	0.17359115763526645
HISt2rpp	0.07936445049426766	0.10581926732561442
HIStex	0.07936445049415397	0.10581926732550073
HSDy	-0.3150798409134268	-0.2363098806852122
HSK	0.23630988068512868	0.31507984091350494
KARA1	-11.814618797688581	-3.1836737208386694
KAS14	0.2323862449299126	0.3098483265734885
KDOPP	0.004458676994059031	0.005944902658744892
KDOPS	0.004458676994059031	0.005944902658744891
MAN6PI	-0.06301596818263988	-0.047261976137065176
MCOATA	1.533249844712259	2.0443331262729316
MCTP1App	0.009809089386929868	0.013078785849239825
MDH	4.05920012382046	6.7923375066369545
ME2	0.0	0.943182751315277
LYSt2pp	0.2131247603160217	0.28416634708802896
LYStex	0.2131247603159636	0.2841663470878757
METabcpp	0.0847148628871216	0.11295315051616214
METtex	0.08471486288715369	0.11295315051609123
NADHNQR	20.010493379049194	30.9855950684356
LEUt2rpp	0.3415346577450009	0.45537954365988753
NDPK1	0.24076855767896177	0.3210247435720248
NDPK2	0.3663249018318311	0.48843320244236565
NDPK3	0.04200073728418374	0.05600098304557832
MPTG	0.009809089386929868	0.013078785849238663
NDPK4	0.14178592841108184	0.18904790454803333
NDPK5	0.019618178773839645	0.02615757169837707
LEUtex	0.3415346577448872	0.45537954365977384
NDPK7	0.019618178773839645	0.02615757169837707
NDPK8	0.015159501779862694	0.02021266903977903
LPADSS	0.018191402135760853	0.02425520284767898
O2tex	12.506438127092451	18.499999999999773
O2tpp	12.506438127092451	18.499999999999773
PAPPT3	0.019618178773859737	0.026157571698477326
PDH	0.2915784449743119	7.259858740701468
PE160abcpp	0.026324028972924518	0.03509870529722943
PE161abcpp	0.008346643332878507	0.011128857777170308
PE181abcpp	0.005136395897156004	0.006848527862874035
PGPP181	0.0007133883189899214	0.000951184425339648
PGSA160	0.0042803299143622285	0.005707106552460642
PGSA161	0.0013376030982170314	0.0017834707976227854
PFK	6.752594962362675	9.464245372394112
PGSA181	0.0007133883189899214	0.0009511844253198953
PG160abcpp	0.003223623466770238	0.004298164621960456
PG161abcpp	0.0010014188528649803	0.0013352251372906205
PHEt2rpp	0.18815616914935163	0.2508748921991355
PHEtex	0.18815616914935163	0.25087489219890813
PG181abcpp	0.0005216652082453831	0.0006955536109938442
PGAMT	-0.10082554909217833	-0.0756191618191906
PGI	2.090384331432574	4.802034741464013
PIt2rpp	1.0179337924633955	1.3572450565962981
PItex	1.0179337924633955	1.3572450565962981
PGK	-23.624141453174502	-13.436053755208263
PMANM	-0.06301596818263988	-0.047261976137065176
PGM	-23.624141453174616	-13.43605375520815
PGMT	-0.26395367804821035	-0.1979652585362146
PGPP160	0.004280329914362228	0.005707106552460645
PGPP161	0.0013376030982170312	0.0017834707976227865
PSD160	0.03656115135128406	0.04874820180170803
PSD161	0.01159256018455348	0.015456746912736692
PSD181	0.00713388319049445	0.00951184425399181
PSSA160	0.03656115135128406	0.04874820180170803
PSSA161	0.01159256018455348	0.015456746912736692
PSSA181	0.00713388319049445	0.00951184425399181
PTAr	-0.04851040569531051	-0.036382804271511304
PTRCTA	1.228811379562834	2.171994130878137
RNDR1	0.015159501779707336	0.020212669039747493
