reaction	linear_coefficient
4PEPTabcpp	0.0006905957965798852
3PEPTabcpp	0.0015259773236759517
12PPDt	0.10143501008929731
TYROXDApp	0.009799959081582398
42A12BOOXpp	0.009799959081582398
PEAMNOpp	0.009799959081582398
13PPDH	0.06145144902457577
ARGDCpp	0.0026985315013375315
4HTHRS	0.011171279209108712
THRS	0.011171279209108712
ARGORNt7pp	0.06714961650241823
ARGSS	0.0057914303651622956
ARGSL	0.0057914303651622956
MALTabcpp	0.019411158321515007
MALTPTabcpp	0.019411158321515007
MALTTRabcpp	0.019411158321515007
MALTHXabcpp	0.019411158321515007
MALTTTRabcpp	0.019411158321515007
14GLUCANabcpp	0.019411158321515007
14GLUCANtexi	0.022937332407390574
MALTPTtexi	0.022937332407390574
GLCtex_copy2	0.022937332407390574
MALTHXtexi	0.022937332407390574
MALTTTRtexi	0.022937332407390574
MALTTRtexi	0.022937332407390574
MALTtexi	0.022937332407390574
4PCP	0.008913143797923061
AGM4PCP	0.008913143797923061
UM4PCP	0.008913143797923061
AM4PCP	0.008913143797923061
ACtex	0.00026804656669054104
F6Ptex	0.00026804656669054104
G3PEtex	0.00026804656669054104
GAMAN6Ptex	0.00026804656669054104
MOBDtex	0.00026804656669054104
CA2tex	0.00026804656669054104
G1Ptex	0.00026804656669054104
4PEPTtex	0.00026804656669054104
NACtex	0.00026804656669054104
LEUtex	0.00026804656669054104
NMNtex	0.00026804656669054104
URAtex	0.00026804656669054104
TREtex	0.00026804656669054104
PROGLYtex	0.00026804656669054104
GLCURtex	0.00026804656669054104
H2Otex	0.00026804656669054104
MSO3tex	0.00026804656669054104
ABUTtex	0.00026804656669054104
ARGtex	0.00026804656669054104
3UMPtex	0.00026804656669054104
MNLtex	0.00026804656669054104
ADEtex	0.00026804656669054104
ALLtex	0.00026804656669054104
BUTtex	0.00026804656669054104
ARBtex	0.00026804656669054104
GALtex	0.00026804656669054104
GLCRtex	0.00026804656669054104
CYTDtex	0.00026804656669054104
ISETACtex	0.00026804656669054104
MMETtex	0.00026804656669054104
ACSERtex	0.00026804656669054104
LYXtex	0.00026804656669054104
BUTSO3tex	0.00026804656669054104
TSULtex	0.00026804656669054104
23CCMPtex	0.00026804656669054104
TRPtex	0.00026804656669054104
XYLUtex	0.00026804656669054104
HXAtex	0.00026804656669054104
23CAMPtex	0.00026804656669054104
FUMtex	0.00026804656669054104
GAMtex	0.00026804656669054104
ACGAtex	0.00026804656669054104
CLtex	0.00026804656669054104
UDPGALtex	0.00026804656669054104
ACGAM1Ptex	0.00026804656669054104
FE2tex	0.00026804656669054104
GALTtex	0.00026804656669054104
INSTtex	0.00026804656669054104
ASO3tex	0.00026804656669054104
MALtex	0.00026804656669054104
3GMPtex	0.00026804656669054104
G3PGtex	0.00026804656669054104
UDPACGALtex	0.00026804656669054104
GALCTtex	0.00026804656669054104
HCINNMtex	0.00026804656669054104
