reaction	linear_coefficient
4PEPTabcpp	1.0
3PEPTabcpp	1.0
12PPDt	1.0
TYROXDApp	1.0
PEAMNOpp	1.0
42A12BOOXpp	1.0
13PPDH	1.0
ARGDCpp	1.0
THRS	1.0
4HTHRS	1.0
ARGORNt7pp	1.0
ARGSS	1.0
ARGSL	1.0
MALTPTabcpp	1.0
MALTTTRabcpp	1.0
MALTTRabcpp	1.0
MALTabcpp	1.0
14GLUCANabcpp	1.0
MALTHXabcpp	1.0
MALTPTtexi	1.0
GLCtex_copy2	1.0
MALTtexi	1.0
MALTHXtexi	1.0
MALTTTRtexi	1.0
14GLUCANtexi	1.0
MALTTRtexi	1.0
AM4PCP	1.0
AGM4PCP	1.0
4PCP	1.0
UM4PCP	1.0
IMPtex	1.0
3CMPtex	1.0
ACGAL1Ptex	1.0
GLYBtex	1.0
GLYCAtex	1.0
GMPtex	1.0
MMETtex	1.0
UMPtex	1.0
XYLUtex	1.0
ALAtex	1.0
CYTDtex	1.0
F6Ptex	1.0
DIMPtex	1.0
DOPAtex	1.0
FORtex	1.0
ILEtex	1.0
FRULYStex	1.0
DTMPtex	1.0
UDPGLCURtex	1.0
TYRtex	1.0
TRPtex	1.0
COBALT2tex	1.0
3AMPtex	1.0
CO2tex	1.0
LYXtex	1.0
SPMDtex	1.0
ETHAtex	1.0
FRUURtex	1.0
NI2tex	1.0
HIStex	1.0
UDPGALtex	1.0
CMPtex	1.0
GLUtex	1.0
LCTStex	1.0
CYANtex	1.0
DSERtex	1.0
DGMPtex	1.0
XYLtex	1.0
DUMPtex	1.0
METDtex	1.0
ETOHtex	1.0
H2O2tex	1.0
INDOLEtex	1.0
MG2tex	1.0
3PEPTtex	1.0
GLYC2Ptex	1.0
TSULtex	1.0
UACGAMtex	1.0
CYNTtex	1.0
HOMtex	1.0
ARBtex	1.0
HCINNMtex	1.0
HG2tex	1.0
DALAtex	1.0
GLYC3Ptex	1.0
INSTtex	1.0
THMDtex	1.0
CGLYtex	1.0
Zn2tex	1.0
MALDtex	1.0
ACALDtex	1.0
ASO3tex	1.0
NMNtex	1.0
3GMPtex	1.0
THMtex	1.0
UDPGtex	1.0
PROtex	1.0
3UMPtex	1.0
DAPtex	1.0
ISETACtex	1.0
23DAPPAtex	1.0
NACtex	1.0
ACSERtex	1.0
VALtex	1.0
GSNtex	1.0
MELIBtex	1.0
GTPtex	1.0
URAtex	1.0
D_LACtex	1.0
LYStex	1.0
PPPNtex	1.0
SUCCtex	1.0
DAMPtex	1.0
CYStex	1.0
IDONtex	1.0
TUNGStex	1.0
PROGLYtex	1.0
ASNtex	1.0
METSOX2tex	1.0
MOBDtex	1.0
NO3tex	1.0
DDGLCNtex	1.0
DHAtex	1.0
NO2tex	1.0
DGSNtex	1.0
THRPtex	1.0
TYMtex	1.0
XMPtex	1.0
ETHSO3tex	1.0
XANtex	1.0
ACtex	1.0
H2Otex	1.0
TYRPtex	1.0
ACGAM1Ptex	1.0
GLYALDtex	1.0
PSCLYStex	1.0
34dhpactex	1.0
AGMtex	1.0
HPPPNtex	1.0
METSOX1tex	1.0
UREAtex	1.0
UDPACGALtex	1.0
H2Stex	1.0
XTSNtex	1.0
NOtex	1.0
O2tex	1.0
O2Stex	1.0
GALURtex	1.0
GLNtex	1.0
PEAMNtex	1.0
THRtex	1.0
23CAMPtex	1.0
ASPtex	1.0
PPALtex	1.0
ALLtex	1.0
Htex	1.0
THYMtex	1.0
4HOXPACDtex	1.0
SERtex	1.0
CSNtex	1.0
ANHGMtex	1.0
GLCtex_copy1	1.0
23CCMPtex	1.0
GALTtex	1.0
ORNtex	1.0
ASCBtex	1.0
SULFACtex	1.0
GDPtex	1.0
GTHRDtex	1.0
DMSOtex	1.0
MAN6Ptex	1.0
GAMAN6Ptex	1.0
AKGtex	1.0
CRNtex	1.0
G3PCtex	1.0
GALCTtex	1.0
G3PItex	1.0
PYRtex	1.0
FUCtex	1.0
G3PStex	1.0
GALBDtex	1.0
CD2tex	1.0
GALtex	1.0
MALtex	1.0
NAtex	1.0
5DGLCNtex	1.0
OROTtex	1.0
26DAHtex	1.0
GLCRtex	1.0
GLYtex	1.0
N2Otex	1.0
MNLtex	1.0
RIBtex	1.0
23CGMPtex	1.0
FUMtex	1.0
CYSDtex	1.0
GLCNtex	1.0
H2tex	1.0
BUTtex	1.0
PPAtex	1.0
GAMtex	1.0
MANGLYCtex	1.0
NH4tex	1.0
OCTAtex	1.0
TARTRtex	1.0
ADEtex	1.0
GLYCLTtex	1.0
DCAtex	1.0
MANtex	1.0
METtex	1.0
PNTOtex	1.0
DINStex	1.0
PHEtex	1.0
PPTtex	1.0
CU2tex	1.0
TMAOtex	1.0
ABUTtex	1.0
CA2tex	1.0
ACMANAtex	1.0
FRUtex	1.0
G3PGtex	1.0
RMNtex	1.0
BUTSO3tex	1.0
GALCTNLtex	1.0
MNtex	1.0
ACGAtex	1.0
GAL1Ptex	1.0
TAURtex	1.0
TMAtex	1.0
FALDtex	1.0
Ktex	1.0
L_LACtex	1.0
PItex	1.0
FE3tex	1.0
GLCURtex	1.0
