reaction	linear_coefficient
4PEPTabcpp	0.5
3PEPTabcpp	0.5
12PPDt	0.5
TYROXDApp	0.5
PEAMNOpp	0.5
42A12BOOXpp	0.5
13PPDH	0.5
ARGDCpp	0.5
THRS	0.5
4HTHRS	0.5
ARGORNt7pp	0.5
ARGSS	0.5
ARGSL	0.5
MALTPTabcpp	0.5
MALTTTRabcpp	0.5
MALTTRabcpp	0.5
MALTabcpp	0.5
14GLUCANabcpp	0.5
MALTHXabcpp	0.5
MALTPTtexi	0.5
GLCtex_copy2	0.5
MALTtexi	0.5
MALTHXtexi	0.5
MALTTTRtexi	0.5
14GLUCANtexi	0.5
MALTTRtexi	0.5
AM4PCP	0.5
AGM4PCP	0.5
4PCP	0.5
UM4PCP	0.5
IMPtex	0.5
3CMPtex	0.5
ACGAL1Ptex	0.5
GLYBtex	0.5
GLYCAtex	0.5
GMPtex	0.5
MMETtex	0.5
UMPtex	0.5
XYLUtex	0.5
ALAtex	0.5
CYTDtex	0.5
F6Ptex	0.5
DIMPtex	0.5
DOPAtex	0.5
FORtex	0.5
ILEtex	0.5
FRULYStex	0.5
DTMPtex	0.5
UDPGLCURtex	0.5
TYRtex	0.5
TRPtex	0.5
COBALT2tex	0.5
3AMPtex	0.5
CO2tex	0.5
LYXtex	0.5
SPMDtex	0.5
ETHAtex	0.5
FRUURtex	0.5
NI2tex	0.5
HIStex	0.5
UDPGALtex	0.5
CMPtex	0.5
GLUtex	0.5
LCTStex	0.5
CYANtex	0.5
DSERtex	0.5
DGMPtex	0.5
XYLtex	0.5
DUMPtex	0.5
METDtex	0.5
ETOHtex	0.5
H2O2tex	0.5
INDOLEtex	0.5
MG2tex	0.5
3PEPTtex	0.5
GLYC2Ptex	0.5
TSULtex	0.5
UACGAMtex	0.5
CYNTtex	0.5
HOMtex	0.5
ARBtex	0.5
HCINNMtex	0.5
HG2tex	0.5
DALAtex	0.5
GLYC3Ptex	0.5
INSTtex	0.5
THMDtex	0.5
CGLYtex	0.5
Zn2tex	0.5
MALDtex	0.5
ACALDtex	0.5
ASO3tex	0.5
NMNtex	0.5
3GMPtex	0.5
THMtex	0.5
UDPGtex	0.5
PROtex	0.5
3UMPtex	0.5
DAPtex	0.5
ISETACtex	0.5
23DAPPAtex	0.5
NACtex	0.5
ACSERtex	0.5
VALtex	0.5
GSNtex	0.5
MELIBtex	0.5
GTPtex	0.5
URAtex	0.5
D_LACtex	0.5
LYStex	0.5
PPPNtex	0.5
SUCCtex	0.5
DAMPtex	0.5
CYStex	0.5
IDONtex	0.5
TUNGStex	0.5
PROGLYtex	0.5
ASNtex	0.5
METSOX2tex	0.5
MOBDtex	0.5
NO3tex	0.5
DDGLCNtex	0.5
DHAtex	0.5
NO2tex	0.5
DGSNtex	0.5
THRPtex	0.5
TYMtex	0.5
XMPtex	0.5
ETHSO3tex	0.5
XANtex	0.5
ACtex	0.5
H2Otex	0.5
TYRPtex	0.5
ACGAM1Ptex	0.5
GLYALDtex	0.5
PSCLYStex	0.5
34dhpactex	0.5
AGMtex	0.5
HPPPNtex	0.5
METSOX1tex	0.5
UREAtex	0.5
UDPACGALtex	0.5
H2Stex	0.5
XTSNtex	0.5
NOtex	0.5
O2tex	0.5
O2Stex	0.5
GALURtex	0.5
GLNtex	0.5
PEAMNtex	0.5
THRtex	0.5
23CAMPtex	0.5
ASPtex	0.5
PPALtex	0.5
ALLtex	0.5
Htex	0.5
THYMtex	0.5
4HOXPACDtex	0.5
SERtex	0.5
CSNtex	0.5
ANHGMtex	0.5
GLCtex_copy1	0.5
23CCMPtex	0.5
GALTtex	0.5
ORNtex	0.5
ASCBtex	0.5
SULFACtex	0.5
GDPtex	0.5
GTHRDtex	0.5
DMSOtex	0.5
MAN6Ptex	0.5
GAMAN6Ptex	0.5
AKGtex	0.5
CRNtex	0.5
G3PCtex	0.5
GALCTtex	0.5
G3PItex	0.5
PYRtex	0.5
FUCtex	0.5
G3PStex	0.5
GALBDtex	0.5
CD2tex	0.5
GALtex	0.5
MALtex	0.5
NAtex	0.5
5DGLCNtex	0.5
OROTtex	0.5
26DAHtex	0.5
GLCRtex	0.5
GLYtex	0.5
N2Otex	0.5
MNLtex	0.5
RIBtex	0.5
23CGMPtex	0.5
FUMtex	0.5
CYSDtex	0.5
GLCNtex	0.5
H2tex	0.5
BUTtex	0.5
PPAtex	0.5
GAMtex	0.5
MANGLYCtex	0.5
NH4tex	0.5
OCTAtex	0.5
TARTRtex	0.5
ADEtex	0.5
GLYCLTtex	0.5
DCAtex	0.5
MANtex	0.5
METtex	0.5
PNTOtex	0.5
DINStex	0.5
PHEtex	0.5
PPTtex	0.5
CU2tex	0.5
TMAOtex	0.5
ABUTtex	0.5
CA2tex	0.5
ACMANAtex	0.5
FRUtex	0.5
G3PGtex	0.5
RMNtex	0.5
BUTSO3tex	0.5
GALCTNLtex	0.5
MNtex	0.5
ACGAtex	0.5
GAL1Ptex	0.5
TAURtex	0.5
TMAtex	0.5
FALDtex	0.5
Ktex	0.5
L_LACtex	0.5
PItex	0.5
FE3tex	0.5
GLCURtex	0.5
SBTtex	0.5
G1Ptex	0.5
GLCUR1Ptex	0.5
BALAtex	0.5
HXAtex	0.5
R5Ptex	0.5
AMPtex	0.5
TCYNTtex	0.5
CUtex	0.5
DMStex	0.5
PTRCtex	0.5
23CUMPtex	0.5
ACGALtex	0.5
SKMtex	0.5
GTHOXtex	0.5
SO2tex	0.5
ALAALAtex	0.5
MSO3tex	0.5
4PEPTtex	0.5
SO4tex	0.5
ARGtex	0.5
CLtex	0.5
G6Ptex	0.5
CHLtex	0.5
GALCTNtex	0.5
SO3tex	0.5
G3PEtex	0.5
LEUtex	0.5
HYXNtex	0.5
FE2tex	0.5
GLYCtex	0.5
TREtex	0.5
ACMUMtex	0.5
DCMPtex	0.5
PSERtex	0.5
PACALDtex	0.5
ARGTRS	0.5
MTAN	0.5
5DOAN	0.5
A5PISO	0.5
MCOATA	0.5
AACPS5	0.5
AACPS8	0.5
AACPS9	0.5
ACOATA	0.5
AACPS2	0.5
AACPS4	0.5
AACPS6	0.5
AACPS3	0.5
AACPS7	0.5
AACPS1	0.5
ECAP3pp	0.5
AADDGT	0.5
ECAP1pp	0.5
ECAP2pp	0.5
AAMYL	0.5
AAMYLpp	0.5
ORNabcpp	0.5
LYSabcpp	0.5
ARGabcpp	0.5
HISabcpp	0.5
ARGt3pp	0.5
LYSt3pp	0.5
AB6PGH	0.5
ABTA	0.5
APTNAT	0.5
ASAD	0.5
ABTDG	0.5
ABUTD	0.5
ABUTt2pp	0.5
ALCD2x	0.5
ACALD	0.5
AOBUTDs	0.5
NOtpp	0.5
ACALDtpp	0.5
CO2tpp	0.5
