	minimum	maximum
3OAR80	0.2439522225769765	0.32526963010282844
3OAS100	0.2439522225769765	0.3252696301028267
3OAS120	0.20032914670522606	0.2671055289405751
3OAS121	0.043623075871643505	0.05816410116214471
3OAS140	0.2003291467052261	0.2671055289405751
3OAS141	0.043623075871643505	0.05816410116214471
3OAS160	0.08574836372946623	0.1143311516395503
3OAS161	0.043623075871643505	0.05816410116214471
3OAS181	0.01647566814057123	0.02196755752067469
3OAS60	0.24395222257697646	0.32526963010282667
3OAS80	0.24395222257697646	0.32526963010282667
3HAD100	0.2439522225769765	0.3252696301028267
3HAD120	0.2003291467052261	0.26710552894057515
3HAD121	0.043623075871643505	0.05816410116214472
3HAD140	0.12394195805471954	0.16525594407322525
3HAD141	0.043623075871643505	0.05816410116214472
3HAD160	0.0857483637298913	0.1143311516399752
3HAD161	0.043623075871643505	0.05816410116214472
3HAD181	0.016475668140571234	0.021967557520674693
3HAD40	0.24395222257697646	0.3252696301028266
3HAD60	0.24395222257697652	0.3252696301028267
3HAD80	0.24395222257697652	0.3252696301028267
A5PISO	0.004680587539837688	0.006240783386601834
ACKr	0.038193594325253294	0.05092479243367495
3OAR100	0.24395222257697652	0.3252696301028267
3OAR120	0.20032914670522606	0.2671055289405751
3OAR121	0.0436230758716435	0.0581641011621447
3OAR140	0.20032914670522614	0.26710552894057515
ACLS	0.0	10.143605758408833
3OAR141	0.0436230758716435	0.05816410116173389
3OAR160	0.08574836372946622	0.11433115164056022
3OAR161	0.0436230758716435	0.05816410116173389
3OAR181	0.016475668140571234	0.021967557520304208
3OAR40	0.24395222257697644	0.32526963010335636
3OAR60	0.2439522225769765	0.32526963010335647
ADNK1	0.10203680836851602	0.13604907782302433
ADNt2pp	0.23870996453234863	0.3182799527082993
ADNtex	0.23870996453206317	0.3182799527098723
ACONTa	3.8084114696819946	6.360067897200015
ACONTb	3.8084114696819946	6.360067897200056
AGMHE	0.006552822555803261	0.00873709674107166
ADA	0.1366731561638326	0.18223087488514497
ACALD	-4.547473508864641e-13	5.000000000000455
ACCOAC	1.6095604432032118	2.1460805909389973
AGPAT160	0.04287418186494563	0.05716557581998745
AGPAT161	0.013573703865536135	0.018098271820734965
AGPAT181	0.008237834070285617	0.01098377876033732
ADK1	0.4296779361589044	0.5729039148784241
ARGtex	0.2864519574394535	0.3819359432526426
ASAD	-0.35822096638395384	-0.26866572478794704
AKGDH	4.55824159356735	7.229333581236533
ALAALAr	0.02059458517544499	0.02745944690059332
ASNS2	0.19096797162626644	0.2546239621682013
ASPK	0.26866572478797934	0.3582209663836693
ALAR	0.04118917035088998	0.05491889380095927
ALATA_L	-0.85748363730238	-0.6431127279768134
ASPTA	-0.9997734985138322	-0.7498301238855447
ATPM	6.8	6.8
ATPS4rpp	43.430935984296866	66.51412735425777
CLPNS181pp	0.00018722350171174185	0.0002496313355777602
CO2tex	-28.04378496825791	-18.012525988282164
CO2tpp	-28.04378496825791	-18.012525988282277
CS	3.808411469681973	6.360067897200899
CLPNS160pp	0.0012169527603873576	0.00162260368040279
CLPNS161pp	0.00037444700319611	0.0004992626709281467
CTPS2	0.13012033360824599	0.17349377814415576
CYSabcpp	0.07301716562180777	0.09735622082900894
CYStex	0.07301716562187721	0.09735622082905593
CYTBO3_4pp	24.437747747743078	36.99999999999387
DCYTt2pp	-3.9556244404349673e-13	4.9999999999875975
DCYTtex	-3.410605131648481e-13	4.9999999999874944
CYTK1	0.0646857198007674	0.08624762640099305
DHAD1	8.785646790008968e-14	10.143605758370857
DHAPT	2.205422457398589	7.770913934576201
DHDPRy	0.020594585175394982	0.027459446900524452
DHDPS	0.020594585175394982	0.027459446900524306
DALAtex	-0.013729723450182973	-0.010297292587551965
DAPE	0.020594585175558677	0.02745944690059332
DASYN160	0.04287418186494564	0.05716557581998715
DASYN161	0.013573703865536135	0.018098271820734865
DASYN181	0.008237834070285619	0.010983778760337261
DCYTD	-2.637082960289978e-13	4.999999999999993
DRPA	0.0	4.999999999999997
DTMPK	0.14884268376751672	0.19845691169004073
ARGabcpp	0.28645195743939966	0.3819359432525591
DURIPP	-2.2737367544323206e-13	5.0
ENO	7.001393946299032	22.03784031405249
EAR100x	0.20032914670522606	0.26710552894157336
EAR120x	0.20032914670522609	0.26710552894157336
EAR121x	0.043623075871643505	0.0581641011617339
EAR140x	0.12394195805471951	0.1652559440742313
EAR141x	0.043623075871643505	0.0581641011617339
F6PA	2.2054224573970487	7.7709139345431595
EAR160x	0.08574836372989128	0.11433115164085468
EAR161x	0.043623075871643505	0.0581641011617339
FA140ACPHi	0.0381935943252533	0.05092479243367106
EAR181x	0.01647566814057123	0.021967557520304208
EAR40x	0.2439522225769764	0.32526963010335636
EAR60x	0.24395222257697646	0.3252696301033564
EAR80x	0.24395222257697646	0.3252696301033564
FUM	4.5582415935677725	7.229333581236732
G1PACT	0.07938276467601667	0.10584368623466454
G1PTT	0.132928686132009	0.1772382481759712
G3PAT160	0.04287418186494563	0.05716557581997007
G3PAT161	0.013573703865536135	0.01809827182072946
G3PAT181	0.008237834070285615	0.010983778760333978
GALUi	0.07488940063814428	0.0998525341840385
G3PD2	-0.0927380411231937	-0.06955353084178896
GAPD	7.001393946300027	22.03784031402847
GF6PTA	0.08968005726357291	0.1195734096848638
GK1	0.1366731561638326	0.1822308748852749
GLA	-0.0012481566773203667	-0.000936117507990275
GLCptspp	0.0	4.999999999999427
GLCtex_copy1	1.1368683772161603e-13	4.999999999999432
GLNS	0.591439041536597	0.7885853887156352
GLYCtpp	-0.0023714976871360705	-0.0017786232654088963
GLYK	0.0017786232654883663	0.0023714976870516107
GLUDxi	-19.56957922320089	2.6507284983280215
GLUDy	-3.330536737226339	8.762266151640347
GLUR	-0.027459446900365947	-0.020594585175331304
GLYt4pp	0.5045673367968512	0.6727564490624681
GLYtex	0.5045673367968675	0.6727564490623763
GMHEPAT	0.00655282255580326	0.008737096741071015
GMHEPK	0.006552822555803261	0.008737096741071015
GLUt2rpp	-28.26165231750315	-17.43249498833802
GMHEPPA	0.00655282255580326	0.008737096741071017
GMPS2	0.1366731561638326	0.1822308748852749
GLUt4pp	15.495941450038336	29.230382580647145
GLUtex	-1.936553538295243	1.5594457189474724
FGLU	0.0	3.2265234642832024
FHL	0.0	3.2265234642860556
FLDR	0.015913997635522207	0.02121866351402961
H2Otex	-26.252820642532583	-13.847127820011906
H2Otpp	-26.252820642532583	-13.847127820011906
FORAMD	0.0	3.226523464286056
HCO3E	1.609560443203236	2.1460805909429155
HYD1pp	0.0	3.226523464286055
Htex	-1.555918798374023	2.0195953733609713
ICDHyr	3.8084114696825964	6.360067897200679
ILEt2rpp	0.18628738408619938	0.24838317878186444
ILEtex	0.18628738408619938	0.24838317878197813
IMPD	0.1366731561638326	0.18223087488521228
HISDr	-5.684341886080801e-13	3.226523464279353
INSK	0.1366731561638326	0.182230874885197
HISt2rpp	0.08331445820942918	3.309837922488896
HIStex	0.08331445820942918	3.309837922488782
IPMD	0.35853300555323564	0.47804400740431835
IPPMIa	-0.47804400740429637	-0.3585330055532357
IPPMIb	-0.47804400740435327	-0.3585330055532356
IPPS	0.3585330055532356	0.47804400740431413
IZPN	0.0	3.226523464279892
HSDy	-0.33076151948344157	-0.24807113961255206
HSK	0.2480711396125521	0.33076151948340277
KARA1	-10.143605758410194	-7.429843970013249e-14
KAS15	0.2439522225769764	0.32526963010283516
KDOPP	0.004680587539859471	0.006240783386479753
KDOPS	0.004680587539859471	0.006240783386479753
MAN6PI	-0.0661523038966152	-0.04961422792234771
MCOATA	1.6095604432034634	2.146080590939164
MCTP1App	0.010297292587690838	0.013729723450255499
MDH	4.558241593567004	7.229333581236688
LYSt2pp	0.22373208440528278	0.2983094458739321
LYStex	0.22373208440524195	0.2983094458738833
METabcpp	0.08893116325732998	0.118574884343171
METtex	0.08893116325725714	0.1185748843431611
NADHNQR	16.65298268989386	30.415492571171058
LEUTAi	0.3585330055532356	0.47804400740447756
NDPK1	0.4212528785877794	0.5616705047837058
NDPK2	0.3845570722752427	0.5127427630337706
NDPK3	0.04409113462531877	0.05878817950042503
MPTG	0.010297292587690838	0.01372972345025882
NDPK4	0.14884268376761156	0.19845691169018664
NDPK5	0.020594585175331304	0.027459446900479634
NDPK7	0.020594585175331304	0.027459446900479634
LPADSS	0.01909679716262665	0.025462396216843642
O2tex	12.218873873870734	18.500000000000682
O2tpp	12.21887387387062	18.500000000000682
OMCDC	0.35853300555323564	0.47804400740446634
PAPPT3	0.020594585175381677	0.02745944690051764
PDH	1.0616463113653996	7.880073929138945
PE160abcpp	0.027634188835330323	0.03684558511378332
PE161abcpp	0.008762059874616932	0.01168274649949241
PE181abcpp	0.005392036845918112	0.0071893824612261
PGPP181	0.0007488940065104612	0.0009985253419699039
PGSA160	0.004493364038097965	0.0059911520508546205
PGSA161	0.0014041762619015098	0.0018722350158876103
PGSA181	0.0007488940065104612	0.0009985253419697094
PG160abcpp	0.0033840647911512695	0.004512086388257747
PG161abcpp	0.0010512599613961057	0.001401679948547025
PHEt2rpp	0.19752079418208268	0.26336105890948147
PHEtex	0.1975207941818553	0.2633610589092541
