obs.x	obs.y	obs.tot	mean.x	mean.y	mean.diff	var.x	var.y	stderr	df	statistic	pvalue	conf.low	conf.high	alternative	mean.null	conf.level	p.corr	FoldChange	log2.Fold.Change
KPN_00001	34	66	100	61.6764705882353	33.5	28.1764705882353	3629.55882352941	712.161538461538	10.8416814398936	39.8018980010821	2.59890227769982	0.0130529981937237	6.26121728488961	50.091723891581	two.sided	0	0.95	0.0826371131067854	1.84108867427568	0.880559114388481
KPN_00002	34	66	100	2681.58823529412	1287.87878787879	1393.70944741533	2183224.85561497	687866.323543124	273.193544537133	43.9933004767907	5.10154604779066	6.89205591969068e-06	843.12166802207	1944.29722680859	two.sided	0	0.95	0.000452345695488559	2.08217439446367	1.05809090797027
KPN_00003	34	66	100	1042.70588235294	556.848484848485	485.857397504456	404219.85026738	56134.8074592075	112.868713606813	37.7923423838511	4.30462421319853	0.000114153375623406	257.325395496345	714.389399512568	two.sided	0	0.95	0.00271506996608881	1.87251274040308	0.904975534680725
KPN_00004	34	66	100	1615.11764705882	754.19696969697	860.920677361854	1418740.89483066	115974.12983683	208.530230812654	35.8055934448653	4.12851735696449	0.000208353740444591	437.922021820948	1283.91933290276	two.sided	0	0.95	0.00392841506983711	2.14150641271837	1.09862599737051
KPN_00005	34	66	100	183	172.424242424242	10.5757575757576	13591.4545454545	19073.9095571096	26.243995365698	77.4193010147163	0.402978183328767	0.688074957317486	-41.6781971334686	62.8297122849838	two.sided	0	0.95	0.80899646666886	1.06133567662566	0.0858810204485515
KPN_00006	34	66	100	799.294117647059	497.818181818182	301.475935828877	989666.213903743	28809.351048951	171.884656498542	33.993285858432	1.75394326620092	0.0884531411680198	-47.8382549180353	650.790126575789	two.sided	0	0.95	0.339977418054991	1.60559446568986	0.683107549008259
KPN_00007	34	66	100	655.911764705882	711.560606060606	-55.6488413547237	210805.173796791	233627.85011655	98.6912766223575	69.8743562296658	-0.563867884368992	0.574649402799855	-252.488608771916	141.190926062469	two.sided	0	0.95	0.733881072294888	0.921793251508384	-0.117484889212179
KPN_00008	34	66	100	2322.17647058824	3494.10606060606	-1171.92959001783	3669236.51336898	15640286.3731935	587.275707771842	97.751469616949	-1.99553561386728	0.048767419187586	-2337.3961539793	-6.4630260563505	two.sided	0	0.95	0.216674437435847	0.664598163395604	-0.589445788712242
KPN_00009	34	66	100	410.588235294118	478.439393939394	-67.8511586452763	15391.2798573975	8320.15780885781	24.0571756195957	51.8955321124203	-2.8204124922299	0.00677803269691474	-116.127726451851	-19.5745908387018	two.sided	0	0.95	0.0524538799007506	0.858182333008575	-0.220643893571829
KPN_00010	34	66	100	908.529411764706	715.257575757576	193.27183600713	230920.802139037	159356.348018648	95.9493534095027	56.9778167402632	2.01431097906689	0.0487062815578709	1.13494875992304	385.408723254337	two.sided	0	0.95	0.216674437435847	1.27021291707735	0.345070346340283
KPN_00011	34	66	100	380.647058823529	307.863636363636	72.783422459893	28542.5383244207	33888.6426573427	36.7824782198467	72.0326011509811	1.97875254692929	0.051667734216234	-0.540540793431337	146.107385713217	two.sided	0	0.95	0.226198406277838	1.23641448311201	0.306162458848967
